"idnum","hs_avg_score"
"0422",NA
"0423",NA
"0424",3.5
"0425",3.75
"0426",NA
"0427",2.75
"0428",NA
"0429",NA
"0430",3.5
"0431",2.25
"0432",NA
"0433",2.5
"0434",3.5
"0435",NA
"0436",2.5
"0437",NA
"0438",2.25
"0439",2.5
"0440",NA
"0441",3
"0442",3.75
"0443",3.25
"0444",2.66666666666667
"0445",NA
"0446",3
"0447",NA
"0448",NA
"0449",3.25
"0450",2.25
"0451",2
"0452",3.25
"0453",3.5
"0454",3.25
"0455",2.75
"0456",3.5
"0457",3.5
"0458",NA
"0459",3.5
"0460",3
"0461",NA
"0462",NA
"0463",2.5
"0464",NA
"0465",3
"0466",2
"0467",NA
"0468",2.25
"0469",2
"0470",3.25
"0471",2.5
"0472",NA
"0473",4
"0474",3.5
"0475",2.75
"0476",2.5
"0477",NA
"0478",2.75
"0479",NA
"0480",2.75
"0481",4
"0482",3.5
"0483",NA
"0484",NA
"0485",NA
"0486",3
"0487",4
"0488",3
"0489",NA
"0490",3
"0491",2.25
"0492",2.75
"0493",2.75
"0494",NA
"0495",3.5
"0496",NA
"0497",3
"0498",2.66666666666667
"0499",NA
"0500",2.5
"0501",3.25
"0502",2.25
"0503",NA
"0504",NA
"0505",NA
"0506",3
"0507",NA
"0508",NA
"0509",2
"0510",3
"0511",3
"0512",2
"0513",NA
"0514",2.33333333333333
"0515",2.75
"0516",2.5
"0517",2.75
"0518",NA
"0519",2.66666666666667
"0520",1.75
"0521",NA
"0522",NA
"0523",1
"0524",2.75
"0525",3
"0526",NA
"0527",4
"0528",NA
"0529",2.25
"0530",4
"0531",3
"0532",3.5
"0533",3.25
"0534",NA
"0535",3.75
"0536",3
"0537",NA
"0538",3
"0539",NA
"0540",1.75
"0541",3
"0542",NA
"0543",3
"0544",2.25
"0545",NA
"0546",4
"0547",2
"0548",NA
"0549",NA
"0550",2.66666666666667
"0551",NA
"0552",2.5
"0553",NA
"0554",2.5
"0555",NA
"0556",3.25
"0557",2.75
"0558",3.25
"0559",NA
"0560",3.25
"0561",NA
"0562",3.75
"0563",2.25
"0564",3
"0565",NA
"0566",NA
"0567",2.5
"0568",3
"0569",NA
"0570",2
"0571",NA
"0572",3.5
"0573",NA
"0574",2.66666666666667
"0575",3.5
"0576",2.75
"0577",2
"0578",3.5
"0579",3.25
"0580",NA
"0581",3.75
"0582",3
"0583",NA
"0584",NA
"0585",NA
"0586",2.33333333333333
"0587",4
"0588",NA
"0589",3.5
"0590",3.25
"0591",1.5
"0592",2.75
"0593",NA
"0594",2.25
"0595",NA
"0596",3.75
"0597",3
"0598",3.5
"0599",2.5
"0600",3
"0601",NA
"0602",3
"0603",2.25
"0604",3.25
"0605",NA
"0606",2.75
"0607",3.25
"0608",NA
"0609",NA
"0610",NA
"0611",2.75
"0612",3
"0613",NA
"0614",2.75
"0615",3.25
"0616",3
"0617",3
"0618",3.25
"0619",2.75
"0620",2.25
"0621",NA
"0622",NA
"0623",NA
"0624",3.5
"0625",3.25
"0626",1.75
"0627",3.5
"0628",1.75
"0629",3
"0630",NA
"0631",2.5
"0632",1.75
"0633",NA
"0634",3.25
"0635",NA
"0636",2.5
"0637",NA
"0638",1.5
"0639",3
"0640",2.25
"0641",4
"0642",1.5
"0643",3.5
"0644",NA
"0645",NA
"0646",1.75
"0647",NA
"0648",1
"0649",2.75
"0650",4
"0651",NA
"0652",3.25
"0653",3
"0654",3.5
"0655",2.25
"0656",3.25
"0657",3.25
"0658",NA
"0659",2.5
"0660",NA
"0661",NA
"0662",2.66666666666667
"0663",1.5
"0664",3
"0665",4
"0666",2.25
"0667",NA
"0668",2.25
"0669",3.5
"0670",NA
"0671",1.75
"0672",2.5
"0673",2.5
"0674",2.33333333333333
"0675",3.5
"0676",1.75
"0677",NA
"0678",1.33333333333333
"0679",2.5
"0680",2.66666666666667
"0681",NA
"0682",NA
"0683",1
"0684",3.5
"0685",2.25
