"idnum","father_fin_security_w234","mother_fin_security_w2345"
"1204","Yes","Yes"
"1205","Yes","No"
"1206","No","Yes"
"1207","No","Yes"
"1208","Yes","Yes"
"1209","No","Yes"
"1210","Yes","Yes"
"1211","No","Yes"
"1212","Yes","Yes"
"1213","Yes","Yes"
"1214","No","No"
"1215",NA,"Yes"
"1216","No","No"
"1217",NA,"Yes"
"1218","No","Yes"
"1219","No","No"
"1220","No","Yes"
"1221","Yes","Yes"
"1222","Yes","No"
"1223",NA,"Yes"
"1224","No","Yes"
"1225","Yes","Yes"
"1226",NA,"Yes"
"1227","No","No"
"1228","No","Yes"
"1229",NA,NA
"1230","No","No"
"1231","Yes","Yes"
"1232","Yes","Yes"
"1233","Yes","Yes"
"1234","No","No"
"1235","No","No"
"1236","No","No"
"1237",NA,"Yes"
"1238","Yes","Yes"
"1239","Yes","Yes"
"1240",NA,"No"
"1241","Yes","Yes"
"1242","Yes","Yes"
"1243","No","No"
"1244","Yes","Yes"
"1245","No",NA
"1246","Yes","Yes"
"1247",NA,"No"
"1248","Yes","No"
"1249",NA,"Yes"
"1250","No","Yes"
"1251",NA,NA
"1252","No","No"
"1253",NA,NA
"1254","No","No"
"1255","Yes","Yes"
"1256",NA,"No"
"1257","Yes","Yes"
"1258",NA,NA
"1259","Yes","Yes"
"1260","No","No"
"1261","Yes","Yes"
"1262",NA,"Yes"
"1263","No","Yes"
"1264","Yes","No"
"1265","Yes","Yes"
"1266","No","No"
"1267","Yes","No"
"1268","Yes","Yes"
"1269","No","Yes"
"1270","No","Yes"
"1271","Yes","Yes"
"1272",NA,NA
"1273",NA,"No"
"1274","No","Yes"
"1275","No",NA
"1276","Yes","Yes"
"1277","Yes","No"
"1278","No","No"
"1279","Yes","No"
"1280","No","Yes"
"1281","Yes","Yes"
"1282","Yes","Yes"
"1283",NA,"Yes"
"1284","No","Yes"
"1285","No","No"
"1286","Yes","Yes"
"1287",NA,NA
"1288","Yes","Yes"
"1289","No","No"
"1290","No","No"
"1291","No","No"
"1292","Yes","No"
"1293","Yes","Yes"
"1294","Yes","No"
"1295","No","Yes"
"1296","Yes","No"
"1297",NA,"No"
"1298","Yes","Yes"
"1299","Yes","Yes"
"1300","Yes","Yes"
"1301","Yes","Yes"
"1302",NA,"Yes"
"1303","Yes","No"
"1304","No","No"
"1305","No","Yes"
"1306",NA,NA
"1307","Yes","Yes"
"1308","No","Yes"
"1309","No","Yes"
"1310",NA,NA
"1311",NA,"Yes"
"1312","Yes","Yes"
"1313","Yes","No"
"1314","Yes","Yes"
"1315","Yes","No"
"1316","No","Yes"
"1317","Yes","No"
"1318","No","Yes"
"1319","No","No"
"1320","Yes","Yes"
"1321","Yes","No"
"1322","No","Yes"
"1323","No","No"
"1324","Yes","No"
"1325","Yes",NA
"1326",NA,"Yes"
"1327",NA,"No"
"1328","Yes","No"
"1329","No","No"
"1330","Yes","No"
"1331","No","No"
"1332",NA,"Yes"
"1333","Yes","No"
"1334","No","Yes"
"1335","Yes","No"
"1336","Yes","Yes"
"1337",NA,"No"
"1338","No","No"
"1339","Yes","Yes"
"1340","No","Yes"
"1341","No","No"
"1342","No","Yes"
"1343","Yes","No"
"1344","No","No"
"1345","Yes","No"
"1346","No","Yes"
"1347","Yes","Yes"
"1348","Yes","Yes"
"1349","Yes","Yes"
"1350","No","Yes"
"1351","No","No"
"1352","No","Yes"
"1353","No","No"
"1354",NA,"Yes"
"1355",NA,"Yes"
"1356",NA,"No"
"1357","Yes","Yes"
"1358","Yes","Yes"
"1359","Yes","Yes"
"1360",NA,"Yes"
"1361",NA,"No"
"1362","No","No"
"1363","No","No"
"1364","Yes","Yes"
"1365","Yes","Yes"
"1366","No","Yes"
"1367","No","Yes"
"1368","Yes","Yes"
"1369","Yes","Yes"
"1370","Yes","No"
"1371","No","Yes"
"1372","No","Yes"
"1373","Yes","Yes"
"1374",NA,NA
"1375","No","Yes"
"1376","No","Yes"
"1377","No","Yes"
"1378","Yes","No"
"1379","No","No"
"1380","No","Yes"
"1381","No","Yes"
"1382","No","Yes"
"1383",NA,"No"
"1384",NA,"Yes"
"1385","Yes","Yes"
"1386",NA,"No"
"1387",NA,"Yes"
"1388","Yes","Yes"
"1389","No","No"
"1390","Yes","Yes"
"1391","No","No"
"1392","No","Yes"
"1393","No","No"
"1394","Yes","No"
"1395","Yes","Yes"
"1396","Yes","No"
"1397","No","Yes"
"1398","Yes","No"
"1399","Yes","No"
"1400","Yes","Yes"
"1401","Yes","Yes"
"1402","No","No"
"1403","No","No"
"1404","Yes","No"
"1405","Yes","Yes"
"1406",NA,"No"
"1407","Yes","Yes"
"1408","Yes","Yes"
"1409","Yes","Yes"
"1410",NA,"No"
"1411","Yes","No"
"1412","No","No"
"1413","Yes","Yes"
"1414","No","No"
"1415","Yes","Yes"
"1416","Yes","Yes"
"1417","Yes","No"
"1418","No","Yes"
"1419",NA,"Yes"
"1420","No","Yes"
"1421","Yes","Yes"
"1422","No","Yes"
"1423","Yes","Yes"
"1424","Yes","No"
"1425",NA,"Yes"
"1426",NA,"No"
"1427","No","Yes"
"1428","Yes",NA
"1429",NA,"No"
"1430","Yes","Yes"
"1431",NA,"Yes"
"1432",NA,"No"
"1433","Yes","Yes"
"1434",NA,"Yes"
"1435","Yes","No"
"1436","Yes","Yes"
"1437","Yes","No"
"1438","No","No"
"1439","Yes","Yes"
"1440",NA,"No"
"1441",NA,NA
"1442","No","No"
"1443","No","No"
"1444","Yes","No"
"1445","Yes","Yes"
"1446","No","No"
"1447","No","Yes"
"1448","Yes","Yes"
"1449","No","No"
"1450","No","No"
"1451","Yes","Yes"
"1452","Yes","No"
"1453","No","Yes"
"1454",NA,NA
"1455","Yes","No"
"1456","Yes","Yes"
"1457","Yes","Yes"
"1458","No","Yes"
"1459","No","Yes"
"1460","No","Yes"
"1461","No","Yes"
"1462","Yes","No"
"1463","Yes","Yes"
"1464","No","Yes"
"1465","No","No"
"1466","Yes","Yes"
"1467","No","No"
"1468",NA,NA
"1469","No","No"
"1470","Yes","No"
"1471","Yes","No"
"1472",NA,"No"
"1473","Yes","Yes"
"1474","Yes","Yes"
"1475","Yes","Yes"
"1476","No","No"
"1477","Yes","Yes"
"1478","No",NA
"1479","No","Yes"
"1480","Yes","No"
"1481","No","No"
"1482","Yes","No"
"1483","No","Yes"
"1484","No","No"
"1485",NA,"No"
"1486","No","Yes"
"1487","No","Yes"
"1488","Yes","Yes"
"1489",NA,"No"
"1490","No","No"
"1491","Yes","Yes"
"1492","No","No"
"1493","Yes","Yes"
"1494","No","Yes"
"1495","Yes","Yes"
"1496","No","Yes"
"1497","Yes","Yes"
"1498","Yes","No"
"1499","Yes","Yes"
"1500","Yes","Yes"
"1501",NA,"Yes"
"1502","No","No"
"1503",NA,"Yes"
"1504","Yes","Yes"
"1505",NA,"Yes"
"1506","No","No"
"1507","Yes","Yes"
"1508","Yes","Yes"
"1509","No","No"
"1510","Yes","Yes"
"1511","No","Yes"
"1512","Yes","No"
"1513",NA,NA
"1514","No","Yes"
"1515","Yes","Yes"
"1516","Yes","Yes"
"1517","No","No"
"1518","Yes","Yes"
"1519","Yes","Yes"
"1520","Yes","No"
"1521","Yes","Yes"
"1522","No","No"
"1523",NA,"Yes"
"1524","No","No"
"1525","Yes","Yes"
"1526",NA,"Yes"
"1527","Yes","Yes"
"1528","Yes","Yes"
"1529","No","Yes"
"1530","Yes","No"
"1531","No","No"
"1532","Yes","Yes"
"1533","Yes","No"
"1534","No","No"
"1535","No","Yes"
"1536","Yes","No"
"1537","No","Yes"
"1538","Yes","Yes"
"1539","No","No"
"1540","No","No"
"1541","Yes","Yes"
"1542","No","No"
"1543","Yes","No"
"1544","No","No"
"1545",NA,"Yes"
"1546","No","Yes"
"1547",NA,"No"
"1548","No","Yes"
"1549","No","No"
"1550","No","No"
"1551",NA,"No"
"1552","Yes","Yes"
"1553","Yes","No"
"1554",NA,"No"
"1555","No","Yes"
"1556",NA,"Yes"
"1557","Yes","No"
"1558","No","No"
"1559","Yes","No"
"1560","Yes","Yes"
"1561","No","Yes"
"1562","No","No"
"1563","Yes","Yes"
"1564","Yes","Yes"
"1565","Yes","Yes"
"1566","Yes","Yes"
"1567","No","Yes"
"1568","No","Yes"
"1569","No","Yes"
"1570","Yes","No"
"1571",NA,"No"
"1572","Yes","Yes"
"1573","No","No"
"1574","No","No"
"1575","Yes","No"
"1576","Yes","Yes"
"1577","Yes","Yes"
"1578","Yes","Yes"
"1579","No","Yes"
"1580","Yes","Yes"
"1581",NA,"No"
"1582","Yes","Yes"
"1583","No","No"
"1584","No","No"
"1585","No","No"
"1586","Yes","Yes"
"1587","Yes","No"
"1588","Yes","Yes"
"1589","Yes","Yes"
"1590","No","No"
"1591","Yes","No"
"1592",NA,"Yes"
"1593","Yes","Yes"
"1594","No","No"
"1595","No","Yes"
"1596","No","No"
"1597",NA,"Yes"
"1598","No","Yes"
"1599","No","No"
"1600","Yes","No"
"1601","Yes","No"
"1602","No","Yes"
"1603","Yes","No"
"1604",NA,"No"
"1605","No","No"
"1606","No","Yes"
"1607","No","No"
"1608","Yes","Yes"
"1609","Yes","Yes"
"1610","Yes","Yes"
"1611","No","No"
"1612","Yes","Yes"
"1613","Yes","No"
"1614",NA,"No"
"1615","Yes","No"
"1616","Yes","No"
"1617","Yes","No"
"1618",NA,"No"
"1619","No","Yes"
"1620","Yes","Yes"
"1621","No","No"
"1622","No","Yes"
"1623","Yes","Yes"
"1624","No","No"
"1625","No","No"
"1626","No","No"
"1627","No","No"
"1628","No","No"
"1629","No","No"
"1630",NA,"Yes"
"1631","Yes","No"
"1632","No","Yes"
"1633","No","Yes"
"1634","No","Yes"
"1635","Yes","Yes"
"1636","No","Yes"
"1637",NA,"No"
"1638",NA,"Yes"
"1639","Yes","Yes"
"1640","No","Yes"
"1641",NA,"No"
"1642","Yes","Yes"
"1643",NA,"No"
"1644","Yes","No"
"1645","Yes","Yes"
"1646","Yes","Yes"
"1647","Yes","Yes"
"1648","Yes","No"
"1649","No","No"
"1650","Yes","Yes"
"1651","No","Yes"
"1652","Yes","Yes"
"1653",NA,"No"
"1654",NA,"Yes"
"1655","Yes","Yes"
"1656","No","Yes"
"1657","No","No"
"1658","No","Yes"
"1659",NA,NA
"1660","No","No"
"1661","No","No"
"1662","No","No"
"1663","Yes","No"
"1664","No","Yes"
"1665","Yes","Yes"
"1666","Yes","No"
"1667",NA,"Yes"
"1668","Yes","Yes"
"1669","Yes","Yes"
"1670","Yes","Yes"
"1671","No","Yes"
"1672","Yes","Yes"
"1673","Yes","Yes"
"1674","Yes","Yes"
"1675","No","Yes"
"1676","No","No"
"1677","No","Yes"
"1678","No","No"
"1679","Yes","No"
"1680",NA,"No"
"1681","Yes","Yes"
"1682","Yes","No"
"1683","Yes","Yes"
"1684","Yes","Yes"
"1685","No","No"
"1686","Yes","No"
"1687","No","No"
"1688","Yes","No"
"1689","Yes","No"
"1690",NA,NA
"1691",NA,NA
"1692","Yes","Yes"
"1693","Yes","Yes"
"1694","No","No"
"1695","No","No"
"1696",NA,"Yes"
"1697","Yes","Yes"
"1698","No","No"
"1699","Yes","Yes"
"1700",NA,"Yes"
"1701","Yes","No"
"1702","Yes","Yes"
"1703","Yes","Yes"
"1704",NA,"Yes"
"1705","Yes","Yes"
"1706","No","No"
"1707",NA,"Yes"
"1708","No","No"
"1709","No","Yes"
"1710","Yes","Yes"
"1711","Yes","Yes"
"1712",NA,NA
"1713","No","Yes"
"1714","No","No"
"1715","Yes","Yes"
"1716","No","Yes"
"1717","Yes","Yes"
"1718","No","No"
"1719",NA,"No"
"1720","No","No"
"1721","No","Yes"
"1722","Yes","Yes"
"1723","Yes","Yes"
"1724","No",NA
"1725","No","No"
"1726","No","Yes"
"1727","Yes","Yes"
"1728","Yes","Yes"
"1729","Yes","No"
"1730",NA,"No"
"1731","Yes","Yes"
"1732","No","Yes"
"1733","Yes","Yes"
"1734","No","Yes"
"1735","No","No"
"1736","Yes",NA
"1737",NA,"No"
"1738","Yes","Yes"
"1739","Yes","Yes"
"1740","Yes","No"
"1741","Yes","Yes"
"1742","Yes","Yes"
"1743","Yes","Yes"
"1744","Yes","Yes"
"1745","No","Yes"
"1746","Yes","No"
"1747","No","Yes"
"1748","Yes","Yes"
"1749","No","Yes"
"1750","Yes","Yes"
"1751","No","No"
"1752","Yes","No"
"1753","No","Yes"
"1754","Yes","Yes"
"1755","Yes","Yes"
"1756","Yes","Yes"
"1757","No","No"
"1758","No","No"
"1759","Yes","Yes"
"1760","Yes","Yes"
"1761",NA,"No"
"1762",NA,"Yes"
"1763","No","No"
"1764",NA,"Yes"
"1765","No","No"
"1766","No","Yes"
"1767","No","Yes"
"1768","No","No"
"1769","No","Yes"
"1770","No","Yes"
"1771",NA,"Yes"
"1772","No","No"
"1773","No","Yes"
"1774","No","Yes"
"1775","No","No"
"1776","Yes","Yes"
"1777","Yes","Yes"
"1778","No","Yes"
"1779","Yes","Yes"
"1780","Yes","Yes"
"1781","Yes","Yes"
"1782","Yes","Yes"
"1783","No","No"
"1784","No","No"
"1785","No","No"
"1786","Yes","Yes"
"1787","Yes","Yes"
"1788","Yes","No"
"1789","Yes","No"
"1790","No","Yes"
"1791","Yes","No"
"1792","Yes","Yes"
"1793","Yes","Yes"
"1794",NA,"No"
"1795","No","Yes"
"1796","No","No"
"1797","No","No"
"1798","Yes","No"
"1799","No","Yes"
"1800","No","No"
"1801",NA,"No"
"1802","Yes","Yes"
"1803","Yes","Yes"
"1804","No","Yes"
"1805","No","Yes"
"1806","No","No"
"1807","Yes","Yes"
"1808","Yes","No"
"1809","Yes","Yes"
"1810","No","No"
"1811","No","Yes"
"1812","Yes","Yes"
"1813","No","No"
"1814","Yes","Yes"
"1815","Yes","Yes"
"1816","Yes","No"
"1817","Yes","No"
"1818","Yes","No"
"1819",NA,"No"
"1820","No","Yes"
"1821","No","Yes"
"1822","Yes","Yes"
"1823","No","Yes"
"1824","No","Yes"
"1825","No","Yes"
"1826","No","No"
"1827",NA,"No"
"1828",NA,"Yes"
"1829","Yes",NA
"1830","Yes","Yes"
"1831","No","Yes"
"1832","Yes","Yes"
"1833",NA,"Yes"
"1834","Yes","Yes"
"1835","Yes","Yes"
"1836","Yes","Yes"
"1837",NA,"Yes"
"1838",NA,"Yes"
"1839","Yes","No"
"1840","Yes","Yes"
"1841","No","Yes"
"1842","Yes","No"
"1843","Yes","Yes"
"1844","Yes","Yes"
"1845","Yes","Yes"
"1846","No","Yes"
"1847",NA,NA
"1848","Yes","Yes"
"1849","No","No"
"1850","Yes","Yes"
"1851","No","No"
"1852","Yes","Yes"
"1853",NA,"Yes"
"1854",NA,NA
"1855","Yes","Yes"
"1856","No","Yes"
"1857","Yes","Yes"
"1858","Yes","No"
"1859","No","Yes"
"1860",NA,"Yes"
"1861",NA,"Yes"
"1862","Yes","Yes"
"1863","No","No"
"1864","No","No"
"1865","No","No"
"1866",NA,"Yes"
"1867",NA,"No"
"1868","Yes","Yes"
"1869","No","No"
"1870","No","No"
"1871","No","Yes"
"1872",NA,"No"
"1873","No","Yes"
"1874","No","No"
"1875",NA,"No"
"1876","Yes","No"
"1877",NA,"Yes"
"1878","No","No"
"1879","Yes","Yes"
"1880",NA,NA
"1881","Yes","Yes"
"1882","No","Yes"
"1883","Yes","Yes"
"1884","No","Yes"
"1885","No","Yes"
"1886","No","Yes"
"1887","Yes","Yes"
"1888","Yes","No"
"1889","Yes","No"
"1890","Yes","Yes"
"1891","Yes","Yes"
"1892","Yes","No"
"1893","No","Yes"
"1894",NA,NA
"1895","Yes","Yes"
"1896","No","Yes"
"1897","Yes","Yes"
"1898","Yes","Yes"
"1899","No","Yes"
"1900","No","Yes"
"1901","No","Yes"
"1902","No","Yes"
"1903","No","No"
"1904","Yes","No"
"1905","No","No"
"1906","No","No"
"1907","Yes","Yes"
"1908","Yes","No"
"1909","Yes","Yes"
"1910","No","Yes"
"1911","No","Yes"
"1912","Yes","No"
"1913","Yes","No"
"1914","No","Yes"
"1915",NA,NA
"1916","No","Yes"
"1917",NA,"Yes"
"1918","No","Yes"
"1919","No","No"
"1920","No","Yes"
"1921","No","Yes"
"1922","Yes","No"
"1923","No","No"
"1924","No","Yes"
"1925","No","Yes"
"1926","Yes","No"
"1927",NA,"Yes"
"1928","Yes","Yes"
"1929","Yes","Yes"
"1930","No","Yes"
"1931","Yes","Yes"
"1932","No","Yes"
"1933","Yes","Yes"
"1934","No","Yes"
"1935","Yes","Yes"
"1936","Yes","Yes"
"1937","No","No"
"1938","No","Yes"
"1939","No","No"
"1940","Yes","Yes"
"1941","Yes","Yes"
"1942","Yes","Yes"
"1943","No","No"
"1944","No","Yes"
"1945","No","Yes"
"1946",NA,"No"
"1947","Yes","Yes"
"1948","Yes","No"
"1949","Yes","Yes"
"1950","No","Yes"
"1951",NA,"No"
"1952","No","No"
"1953","Yes","No"
"1954","No","No"
"1955",NA,NA
"1956","Yes","Yes"
"1957","Yes","Yes"
"1958","Yes","Yes"
"1959","No","No"
"1960","No","No"
"1961",NA,"No"
"1962","Yes","Yes"
"1963","No","No"
"1964","No","No"
"1965","Yes","Yes"
"1966","Yes","No"
"1967",NA,"Yes"
"1968","No","No"
"1969","Yes","Yes"
"1970","Yes","Yes"
"1971",NA,"Yes"
"1972","Yes","Yes"
"1973",NA,"Yes"
"1974",NA,"Yes"
"1975",NA,"No"
"1976",NA,NA
"1977","Yes","No"
"1978","Yes","No"
"1979","No","No"
"1980","No","No"
"1981","Yes","No"
"1982","Yes","No"
"1983","Yes","No"
"1984",NA,"Yes"
"1985","Yes","Yes"
"1986","No","Yes"
"1987",NA,NA
"1988","Yes","Yes"
"1989","No","No"
"1990",NA,"Yes"
"1991","Yes","No"
"1992","Yes","No"
"1993","Yes","Yes"
"1994","No","Yes"
"1995",NA,"Yes"
"1996","Yes","Yes"
"1997","No","Yes"
"1998","Yes","No"
"1999",NA,NA
"2000","Yes","No"
"2001",NA,"No"
"2002","No","No"
"2003","No","Yes"
"2004","Yes","Yes"
"2005","No","No"
"2006","No","No"
"2007","Yes","Yes"
"2008","Yes","Yes"
"2009",NA,"No"
"2010","No","No"
"2011","Yes","Yes"
"2012","No","No"
"2013","No","No"
"2014",NA,"No"
"2015","Yes","Yes"
"2016","No","Yes"
"2017","Yes","Yes"
"2018","Yes","Yes"
"2019","Yes","Yes"
"2020",NA,"No"
"2021","No","Yes"
"2022",NA,"No"
"2023","No","No"
"2024","No","No"
"2025",NA,"Yes"
"2026",NA,"No"
"2027","No","Yes"
"2028","No","Yes"
"2029","No","Yes"
"2030","No","No"
"2031","Yes","No"
"2032","Yes","Yes"
"2033","Yes","Yes"
"2034","Yes","No"
"2035","No","Yes"
"2036","Yes","No"
"2037","Yes","Yes"
"2038",NA,"Yes"
"2039","No","Yes"
"2040",NA,"Yes"
"2041","Yes","Yes"
"2042",NA,"Yes"
"2043","No","No"
"2044","No","No"
"2045","No","Yes"
"2046","Yes","Yes"
"2047",NA,"No"
"2048",NA,"Yes"
"2049","No","Yes"
"2050",NA,"Yes"
"2051",NA,NA
"2052","Yes","Yes"
"2053",NA,"Yes"
"2054","No","Yes"
"2055","Yes","Yes"
"2056",NA,"No"
"2057","No","Yes"
"2058",NA,"No"
"2059","Yes","Yes"
"2060","Yes","Yes"
"2061","No","Yes"
"2062","No","Yes"
"2063","Yes","Yes"
"2064","Yes","Yes"
"2065","Yes","Yes"
"2066","Yes","Yes"
"2067","No","No"
"2068","Yes","Yes"
"2069","No","Yes"
"2070","No","Yes"
"2071","No","Yes"
"2072","Yes","No"
"2073",NA,"No"
"2074",NA,NA
"2075","Yes","Yes"
"2076","No","No"
"2077","No","No"
"2078","Yes","No"
"2079","Yes","Yes"
"2080","Yes","No"
"2081","No","No"
"2082","Yes","No"
"2083","Yes","Yes"
"2084","Yes","Yes"
"2085","No","No"
"2086","Yes","No"
"2087","No","No"
"2088","Yes","Yes"
"2089","Yes","Yes"
"2090","No","No"
"2091","Yes","Yes"
"2092",NA,"Yes"
"2093","Yes","Yes"
"2094","No","No"
"2095",NA,"Yes"
"2096","Yes","Yes"
"2097","Yes","Yes"
"2098","No","No"
"2099","Yes","Yes"
"2100",NA,"Yes"
"2101","No","No"
"2102","No","Yes"
"2103","No","No"
"2104","No","No"
"2105","Yes","Yes"
"2106","No","No"
"2107","Yes","Yes"
"2108","Yes","Yes"
"2109","Yes","No"
"2110","No","Yes"
"2111","Yes","Yes"
"2112","No","Yes"
"2113","Yes","Yes"
"2114","No","No"
"2115","No","No"
"2116","No","Yes"
"2117","No","Yes"
"2118","No","Yes"
"2119","No","Yes"
"2120","No","Yes"
"2121","Yes","No"
"2122","No","Yes"
"2123","Yes","No"
"2124","No","Yes"
"2125",NA,"No"
"2126","No","No"
"2127","No","Yes"
"2128","No","Yes"
"2129","Yes","Yes"
"2130","Yes","Yes"
"2131","No","Yes"
"2132","Yes","Yes"
"2133","No","No"
"2134","Yes","Yes"
"2135",NA,NA
"2136",NA,"Yes"
"2137","Yes","Yes"
"2138",NA,"No"
"2139","Yes","Yes"
"2140","Yes","No"
"2141","No","Yes"
"2142","No","No"
"2143","Yes","Yes"
"2144","Yes","Yes"
"2145","Yes","Yes"
"2146","Yes","Yes"
"2147",NA,"No"
"2148","Yes","Yes"
"2149","Yes","Yes"
"2150","No","Yes"
"2151","Yes","Yes"
"2152","No","Yes"
"2153","Yes","Yes"
"2154","No","No"
"2155","Yes","Yes"
"2156","Yes","No"
"2157",NA,"Yes"
"2158",NA,"No"
"2159","No","Yes"
"2160","Yes","Yes"
"2161",NA,"No"
"2162","No","Yes"
"2163","Yes","Yes"
"2164","Yes","Yes"
"2165","Yes","No"
"2166","Yes","No"
"2167","No","No"
"2168","No","No"
"2169","No","Yes"
"2170","Yes","Yes"
"2171","No","No"
"2172","Yes","Yes"
"2173",NA,"No"
"2174",NA,NA
"2175","Yes","Yes"
"2176",NA,"Yes"
"2177","Yes","Yes"
"2178",NA,"No"
"2179","No","Yes"
"2180","Yes","Yes"
"2181","Yes","Yes"
"2182","No","Yes"
"2183","No","Yes"
"2184","Yes","Yes"
"2185","No","Yes"
"2186","Yes","Yes"
"2187","No","No"
"2188",NA,NA
"2189","Yes","Yes"
"2190",NA,NA
"2191","Yes","Yes"
"2192","Yes","Yes"
"2193",NA,"Yes"
"2194","Yes","No"
"2195","Yes","No"
"2196","No","Yes"
"2197","Yes","Yes"
"2198","No","No"
"2199","Yes","No"
"2200","Yes","No"
"2201","No","No"
"2202","No","No"
"2203","No","Yes"
"2204","No","Yes"
"2205","No","No"
"2206","Yes","Yes"
"2207","Yes","No"
"2208","No","No"
"2209","No","Yes"
"2210",NA,"Yes"
"2211","No","Yes"
"2212","No","No"
"2213","Yes","No"
"2214","Yes","No"
"2215","Yes","Yes"
"2216","Yes","Yes"
"2217","Yes","Yes"
"2218","Yes","Yes"
"2219","Yes","Yes"
"2220",NA,"Yes"
"2221",NA,"No"
"2222","Yes","Yes"
"2223",NA,"Yes"
"2224","Yes","Yes"
"2225","No","Yes"
"2226","Yes","Yes"
"2227",NA,"No"
"2228",NA,NA
"2229","Yes","Yes"
"2230","Yes","No"
"2231",NA,"Yes"
"2232","Yes","Yes"
"2233","Yes","Yes"
"2234",NA,NA
"2235","Yes","Yes"
"2236","No","No"
"2237",NA,"Yes"
"2238","No","Yes"
"2239",NA,NA
"2240","Yes","Yes"
"2241","No","No"
"2242","Yes","Yes"
"2243","No","Yes"
"2244","No","Yes"
"2245","Yes","No"
"2246","Yes","Yes"
"2247",NA,"No"
"2248","Yes","Yes"
"2249",NA,"Yes"
"2250","Yes","Yes"
"2251","No","No"
"2252","Yes","Yes"
"2253","Yes","Yes"
"2254","Yes","Yes"
"2255",NA,NA
"2256","No","Yes"
"2257","Yes","No"
"2258","No","No"
"2259","No","No"
"2260","No","No"
"2261","No","Yes"
"2262","Yes","Yes"
"2263",NA,"Yes"
"2264","No","Yes"
"2265",NA,"Yes"
"2266","Yes","Yes"
"2267","Yes","Yes"
"2268","No","No"
"2269",NA,"No"
"2270","Yes","Yes"
"2271","No","No"
"2272","No","No"
"2273","Yes","Yes"
"2274","No","No"
"2275","No","No"
"2276","Yes","Yes"
"2277","Yes","Yes"
"2278","Yes","Yes"
"2279","No","Yes"
"2280","Yes","Yes"
"2281","Yes","Yes"
"2282","Yes","No"
"2283","Yes","Yes"
"2284","Yes","No"
"2285","Yes","Yes"
"2286","Yes","No"
"2287","No","Yes"
"2288","No","No"
"2289","No","Yes"
"2290","Yes","Yes"
"2291",NA,"Yes"
"2292","Yes","Yes"
"2293",NA,NA
"2294","Yes","No"
"2295","No","Yes"
"2296","Yes","Yes"
"2297","Yes","Yes"
"2298","Yes","Yes"
"2299",NA,"Yes"
"2300","Yes","Yes"
"2301","Yes","No"
"2302","Yes","No"
"2303","Yes","No"
"2304","Yes","No"
"2305","No","No"
"2306","No","No"
"2307","No","No"
"2308","No","Yes"
"2309","Yes","No"
"2310","No","No"
"2311","Yes","No"
"2312",NA,"Yes"
"2313",NA,"Yes"
"2314",NA,"Yes"
"2315","Yes","Yes"
"2316","Yes","No"
"2317","No","No"
"2318","Yes","Yes"
"2319","Yes","No"
"2320","Yes","No"
"2321","Yes","Yes"
"2322","No","No"
"2323","Yes","Yes"
"2324","No","Yes"
"2325","Yes","Yes"
"2326","No","Yes"
"2327",NA,"No"
"2328","No","Yes"
"2329","No","Yes"
"2330","No","Yes"
"2331","Yes","Yes"
"2332",NA,NA
"2333",NA,"No"
"2334","No","No"
"2335","No","No"
"2336","Yes","No"
"2337",NA,"No"
"2338","No","No"
"2339","No","Yes"
"2340","Yes","No"
"2341","Yes","Yes"
"2342",NA,"No"
"2343","No","No"
"2344","No","Yes"
"2345","No","Yes"
"2346","No","Yes"
"2347","Yes","No"
"2348","Yes","Yes"
"2349","Yes","Yes"
"2350","Yes","Yes"
"2351",NA,NA
"2352","Yes","No"
"2353","Yes","Yes"
"2354","No","No"
"2355","No","No"
"2356","Yes","Yes"
"2357","Yes","Yes"
"2358","No","No"
"2359","No","Yes"
"2360","Yes","No"
"2361","No","Yes"
"2362","Yes","Yes"
"2363","Yes","Yes"
"2364","Yes","Yes"
"2365","Yes","Yes"
"2366",NA,"Yes"
"2367",NA,"Yes"
"2368","Yes","No"
"2369",NA,"Yes"
"2370",NA,"No"
"2371","No","No"
"2372",NA,"Yes"
"2373","Yes","Yes"
"2374","Yes","Yes"
"2375","Yes","Yes"
"2376","Yes","No"
"2377","Yes","Yes"
"2378","Yes","Yes"
"2379","Yes","Yes"
"2380","No","No"
"2381","Yes","Yes"
"2382",NA,NA
"2383","No","No"
"2384",NA,"Yes"
"2385",NA,"No"
"2386","No","Yes"
"2387",NA,"No"
"2388","No","Yes"
"2389","Yes","No"
"2390","No","No"
"2391","No","No"
"2392","Yes","No"
"2393","No","No"
"2394","Yes","Yes"
"2395","No","Yes"
"2396","No","Yes"
"2397","Yes","Yes"
"2398","Yes","Yes"
"2399",NA,"No"
"2400",NA,"Yes"
"2401","No","No"
"2402","No","No"
"2403","Yes","No"
"2404","No","Yes"
"2405","No","No"
"2406","Yes","No"
"2407","Yes","Yes"
"2408",NA,"Yes"
"2409","No","Yes"
"2410",NA,"Yes"
"2411",NA,"No"
"2412","No","No"
"2413","No","Yes"
"2414","Yes","Yes"
"2415",NA,"Yes"
"2416",NA,"No"
"2417","No","No"
"2418","Yes","Yes"
"2419","No","Yes"
"2420","Yes","No"
"2421","Yes","Yes"
"2422","No","Yes"
"2423","No","Yes"
"2424","Yes","Yes"
"2425","Yes","Yes"
"2426","Yes","Yes"
"2427","No","Yes"
"2428","No","Yes"
"2429","No","Yes"
"2430","Yes","No"
"2431","Yes",NA
