"idnum","father_fin_security_w234","mother_fin_security_w2345"
"0276","No","No"
"0277","Yes","Yes"
"0278","Yes","No"
"0279","No","No"
"0280","No","Yes"
"0281","Yes","Yes"
"0282","No","Yes"
"0283",NA,"No"
"0284","No","No"
"0285","Yes","Yes"
"0286","No","No"
"0287","No","Yes"
"0288","No","No"
"0289","Yes","Yes"
"0290",NA,NA
"0291","No","No"
"0292",NA,"Yes"
"0293","Yes","Yes"
"0294","No","No"
"0295","Yes","No"
"0296","No","No"
"0297","No","Yes"
"0298","Yes","Yes"
"0299","Yes","Yes"
"0300","No","No"
"0301","Yes","No"
"0302","Yes","No"
"0303","Yes","Yes"
"0304","No","Yes"
"0305","No","Yes"
"0306","No","Yes"
"0307","No","No"
"0308","Yes","Yes"
"0309","No","No"
"0310","No","Yes"
"0311",NA,"Yes"
"0312","Yes","Yes"
"0313","Yes","Yes"
"0314","Yes","No"
"0315","No","Yes"
"0316","No","Yes"
"0317","No","No"
"0318","No","Yes"
"0319","No","Yes"
"0320","Yes","Yes"
"0321","No","No"
"0322",NA,"Yes"
"0323","No","No"
"0324",NA,"Yes"
"0325","Yes","No"
"0326","No","No"
"0327","Yes","Yes"
"0328","Yes","No"
"0329","Yes","No"
"0330","No","Yes"
"0331",NA,"Yes"
"0332","No","No"
"0333","No","Yes"
"0334","No","No"
"0335",NA,"Yes"
"0336","No","Yes"
"0337","Yes","Yes"
"0338","No","Yes"
"0339","Yes","Yes"
"0340","Yes","Yes"
"0341","Yes","Yes"
"0342","Yes","Yes"
"0343","No","Yes"
"0344","No","Yes"
"0345","Yes","Yes"
"0346","No","No"
"0347","Yes","Yes"
"0348","Yes","Yes"
"0349","No","Yes"
"0350","No","No"
"0351","Yes","Yes"
"0352",NA,"Yes"
"0353","No","No"
"0354",NA,"No"
"0355","Yes","Yes"
"0356","Yes","Yes"
"0357","No","No"
"0358","Yes","No"
"0359","No","No"
"0360","Yes","No"
"0361","No","Yes"
"0362","No","Yes"
"0363","Yes","Yes"
"0364","No","Yes"
"0365","No","No"
"0366","No","Yes"
"0367","Yes","Yes"
"0368","Yes",NA
"0369","Yes","Yes"
"0370","Yes","Yes"
"0371","No","No"
"0372",NA,"No"
"0373","Yes","Yes"
"0374","Yes","No"
"0375","No","No"
"0376",NA,"No"
"0377",NA,"Yes"
"0378","Yes","Yes"
"0379","Yes","Yes"
"0380","Yes","Yes"
"0381","Yes","Yes"
"0382",NA,"Yes"
"0383","No","Yes"
"0384","Yes","No"
"0385","Yes","No"
"0386","No","No"
"0387","Yes","Yes"
"0388","Yes","Yes"
"0389","Yes","Yes"
"0390",NA,"No"
"0391","No","Yes"
"0392","No","Yes"
"0393","Yes","Yes"
"0394","No","Yes"
"0395",NA,NA
"0396","Yes","No"
"0397","Yes","No"
"0398","Yes","Yes"
"0399","No","No"
"0400","Yes","No"
"0401","Yes","Yes"
"0402","Yes","Yes"
"0403","Yes","Yes"
"0404","No","No"
"0405","Yes","Yes"
"0406","Yes","Yes"
"0407","No","Yes"
"0408","No","No"
"0409","No","Yes"
"0410","No","No"
"0411","Yes","No"
"0412","No",NA
"0413","No","No"
"0414","No","Yes"
"0415","Yes","No"
"0416","Yes","Yes"
"0417","Yes","Yes"
