"idnum","fparents_edustatus_w2345","mparents_edustatus_w2345"
"0155","At least one parent attended college","At least one parent attended college"
"0156","Neither parent attended college","Neither parent attended college"
"0157","At least one parent attended college","Neither parent attended college"
"0158","Neither parent attended college","At least one parent attended college"
"0159",NA,"Neither parent attended college"
"0160","Neither parent attended college","Neither parent attended college"
"0161","Neither parent attended college","Neither parent attended college"
"0162",NA,"Neither parent attended college"
"0163","Neither parent attended college","Neither parent attended college"
"0164","Neither parent attended college","Neither parent attended college"
"0165","Neither parent attended college","Neither parent attended college"
"0166",NA,"Neither parent attended college"
"0167","Neither parent attended college","Neither parent attended college"
"0168","Neither parent attended college","Neither parent attended college"
"0169","Neither parent attended college","Neither parent attended college"
"0170","Neither parent attended college","Neither parent attended college"
"0171","Neither parent attended college","At least one parent attended college"
"0172",NA,"Neither parent attended college"
"0173","Neither parent attended college","At least one parent attended college"
"0174","Neither parent attended college","At least one parent attended college"
"0175","At least one parent attended college","Neither parent attended college"
"0176","At least one parent attended college","Neither parent attended college"
"0177","Neither parent attended college","Neither parent attended college"
"0178","At least one parent attended college","Neither parent attended college"
"0179",NA,"At least one parent attended college"
"0180","At least one parent attended college","At least one parent attended college"
"0181","At least one parent attended college","Neither parent attended college"
"0182","Neither parent attended college","Neither parent attended college"
"0183","Neither parent attended college","Neither parent attended college"
"0184",NA,"Neither parent attended college"
"0185",NA,NA
"0186","Neither parent attended college","At least one parent attended college"
"0187","Neither parent attended college","Neither parent attended college"
"0188","At least one parent attended college","At least one parent attended college"
"0189","At least one parent attended college","At least one parent attended college"
"0190","At least one parent attended college","At least one parent attended college"
"0191",NA,"At least one parent attended college"
"0192","Neither parent attended college","At least one parent attended college"
"0193","Neither parent attended college","Neither parent attended college"
"0194",NA,"At least one parent attended college"
"0195","Neither parent attended college",NA
"0196","Neither parent attended college","Neither parent attended college"
"0197","Neither parent attended college","Neither parent attended college"
"0198","At least one parent attended college","At least one parent attended college"
"0199","Neither parent attended college","Neither parent attended college"
"0200",NA,NA
"0201","Neither parent attended college","Neither parent attended college"
"0202","At least one parent attended college","Neither parent attended college"
"0203",NA,"At least one parent attended college"
"0204","Neither parent attended college","At least one parent attended college"
"0205",NA,"Neither parent attended college"
"0206","At least one parent attended college","Neither parent attended college"
"0207","Neither parent attended college","Neither parent attended college"
"0208",NA,NA
"0209","Neither parent attended college","Neither parent attended college"
"0210","At least one parent attended college","Neither parent attended college"
"0211","At least one parent attended college","At least one parent attended college"
"0212",NA,"At least one parent attended college"
"0213","At least one parent attended college","Neither parent attended college"
"0214",NA,"Neither parent attended college"
"0215","Neither parent attended college","Neither parent attended college"
"0216","At least one parent attended college","At least one parent attended college"
"0217","At least one parent attended college","At least one parent attended college"
"0218","Neither parent attended college","Neither parent attended college"
"0219","Neither parent attended college","At least one parent attended college"
"0220","At least one parent attended college","At least one parent attended college"
"0221","Neither parent attended college","Neither parent attended college"
