"idnum","fparents_edustatus_w2345","mparents_edustatus_w2345"
"0765","Neither parent attended college","Neither parent attended college"
"0766",NA,"At least one parent attended college"
"0767","Neither parent attended college","Neither parent attended college"
"0768","At least one parent attended college","At least one parent attended college"
"0769",NA,"Neither parent attended college"
"0770",NA,"Neither parent attended college"
"0771","Neither parent attended college","Neither parent attended college"
"0772","At least one parent attended college","At least one parent attended college"
"0773",NA,"At least one parent attended college"
"0774","Neither parent attended college","At least one parent attended college"
"0775","Neither parent attended college","Neither parent attended college"
"0776","At least one parent attended college","Neither parent attended college"
"0777","Neither parent attended college","Neither parent attended college"
"0778","Neither parent attended college",NA
"0779",NA,"Neither parent attended college"
"0780",NA,NA
"0781","At least one parent attended college","Neither parent attended college"
"0782","Neither parent attended college","Neither parent attended college"
"0783","At least one parent attended college","At least one parent attended college"
"0784","Neither parent attended college",NA
"0785",NA,NA
"0786",NA,"At least one parent attended college"
"0787",NA,"At least one parent attended college"
"0788","Neither parent attended college","Neither parent attended college"
"0789","Neither parent attended college","Neither parent attended college"
"0790","Neither parent attended college","Neither parent attended college"
"0791","At least one parent attended college","Neither parent attended college"
"0792",NA,"At least one parent attended college"
"0793",NA,"Neither parent attended college"
"0794","Neither parent attended college","Neither parent attended college"
"0795",NA,"Neither parent attended college"
"0796","Neither parent attended college","Neither parent attended college"
"0797","Neither parent attended college",NA
"0798",NA,"Neither parent attended college"
"0799","Neither parent attended college","Neither parent attended college"
"0800","At least one parent attended college","At least one parent attended college"
"0801","At least one parent attended college","Neither parent attended college"
"0802","At least one parent attended college","At least one parent attended college"
"0803","Neither parent attended college","Neither parent attended college"
"0804","At least one parent attended college","At least one parent attended college"
"0805",NA,NA
"0806","At least one parent attended college",NA
"0807","At least one parent attended college","Neither parent attended college"
"0808","At least one parent attended college","Neither parent attended college"
"0809","At least one parent attended college","Neither parent attended college"
"0810","At least one parent attended college","At least one parent attended college"
"0811","At least one parent attended college","Neither parent attended college"
"0812",NA,"Neither parent attended college"
"0813",NA,"Neither parent attended college"
"0814","At least one parent attended college","Neither parent attended college"
"0815","At least one parent attended college","At least one parent attended college"
"0816",NA,"At least one parent attended college"
"0817","Neither parent attended college","Neither parent attended college"
"0818","At least one parent attended college","Neither parent attended college"
"0819","Neither parent attended college","Neither parent attended college"
"0820","At least one parent attended college","Neither parent attended college"
"0821","Neither parent attended college","Neither parent attended college"
"0822","Neither parent attended college","Neither parent attended college"
"0823","Neither parent attended college","Neither parent attended college"
"0824","At least one parent attended college","At least one parent attended college"
"0825","Neither parent attended college","At least one parent attended college"
"0826",NA,"At least one parent attended college"
"0827","Neither parent attended college","Neither parent attended college"
"0828",NA,"Neither parent attended college"
"0829","At least one parent attended college","At least one parent attended college"
"0830","Neither parent attended college","Neither parent attended college"
"0831","At least one parent attended college","At least one parent attended college"
"0832",NA,"Neither parent attended college"
"0833","Neither parent attended college","Neither parent attended college"
"0834","At least one parent attended college","Neither parent attended college"
"0835","Neither parent attended college","Neither parent attended college"
"0836","At least one parent attended college","At least one parent attended college"
"0837","Neither parent attended college","Neither parent attended college"
"0838","At least one parent attended college","Neither parent attended college"
"0839","Neither parent attended college","Neither parent attended college"
"0840",NA,NA
"0841","At least one parent attended college","At least one parent attended college"
"0842","Neither parent attended college","At least one parent attended college"
"0843","Neither parent attended college","Neither parent attended college"
"0844","At least one parent attended college","At least one parent attended college"
"0845","At least one parent attended college","At least one parent attended college"
"0846","Neither parent attended college","Neither parent attended college"
"0847","Neither parent attended college","Neither parent attended college"
"0848","Neither parent attended college","At least one parent attended college"
"0849",NA,NA
"0850",NA,"Neither parent attended college"
"0851","At least one parent attended college","Neither parent attended college"
"0852",NA,"Neither parent attended college"
"0853","Neither parent attended college","Neither parent attended college"
"0854",NA,"Neither parent attended college"
"0855",NA,NA
"0856","Neither parent attended college","At least one parent attended college"
"0857","Neither parent attended college","Neither parent attended college"
"0858","At least one parent attended college","At least one parent attended college"
"0859","Neither parent attended college","Neither parent attended college"
"0860",NA,"At least one parent attended college"
"0861","Neither parent attended college","At least one parent attended college"
"0862","Neither parent attended college","Neither parent attended college"
"0863","Neither parent attended college","At least one parent attended college"
"0864","At least one parent attended college","At least one parent attended college"
"0865",NA,"Neither parent attended college"
"0866","At least one parent attended college","At least one parent attended college"
"0867",NA,"At least one parent attended college"
"0868",NA,"At least one parent attended college"
"0869","Neither parent attended college","At least one parent attended college"
"0870","At least one parent attended college","At least one parent attended college"
"0871","At least one parent attended college","At least one parent attended college"
"0872","Neither parent attended college","Neither parent attended college"
"0873","Neither parent attended college","Neither parent attended college"
"0874","At least one parent attended college","At least one parent attended college"
"0875","Neither parent attended college","At least one parent attended college"
"0876",NA,"Neither parent attended college"
"0877","At least one parent attended college","Neither parent attended college"
"0878","Neither parent attended college","At least one parent attended college"
"0879","At least one parent attended college","Neither parent attended college"
"0880","At least one parent attended college","At least one parent attended college"
"0881","Neither parent attended college","At least one parent attended college"
"0882","Neither parent attended college","At least one parent attended college"
"0883","At least one parent attended college","Neither parent attended college"
"0884","Neither parent attended college","Neither parent attended college"
"0885",NA,"Neither parent attended college"
"0886",NA,"At least one parent attended college"
"0887","At least one parent attended college","At least one parent attended college"
"0888",NA,"At least one parent attended college"
"0889","Neither parent attended college","Neither parent attended college"
"0890","At least one parent attended college","At least one parent attended college"
"0891",NA,"Neither parent attended college"
"0892",NA,"Neither parent attended college"
"0893","At least one parent attended college","At least one parent attended college"
"0894","Neither parent attended college","At least one parent attended college"
"0895",NA,NA
"0896",NA,"Neither parent attended college"
"0897","Neither parent attended college","Neither parent attended college"
"0898","At least one parent attended college","At least one parent attended college"
"0899","At least one parent attended college","At least one parent attended college"
"0900",NA,"At least one parent attended college"
"0901",NA,"Neither parent attended college"
"0902","Neither parent attended college","Neither parent attended college"
"0903","At least one parent attended college",NA
"0904","Neither parent attended college","At least one parent attended college"
"0905","Neither parent attended college","At least one parent attended college"
"0906","At least one parent attended college","Neither parent attended college"
"0907",NA,"At least one parent attended college"
"0908","At least one parent attended college","At least one parent attended college"
"0909","Neither parent attended college",NA
"0910",NA,"Neither parent attended college"
"0911",NA,"At least one parent attended college"
"0912","At least one parent attended college","At least one parent attended college"
"0913","Neither parent attended college","Neither parent attended college"
"0914","At least one parent attended college","At least one parent attended college"
"0915",NA,"Neither parent attended college"
"0916",NA,"Neither parent attended college"
"0917","Neither parent attended college","Neither parent attended college"
"0918","At least one parent attended college","Neither parent attended college"
"0919","Neither parent attended college","At least one parent attended college"
"0920","At least one parent attended college","Neither parent attended college"
"0921","Neither parent attended college","Neither parent attended college"
"0922","Neither parent attended college",NA
"0923","At least one parent attended college","Neither parent attended college"
"0924","At least one parent attended college","At least one parent attended college"
"0925",NA,"Neither parent attended college"
"0926","At least one parent attended college","At least one parent attended college"
"0927","At least one parent attended college","At least one parent attended college"
"0928",NA,NA
"0929","Neither parent attended college","At least one parent attended college"
"0930",NA,"At least one parent attended college"
"0931","At least one parent attended college","At least one parent attended college"
"0932",NA,"Neither parent attended college"
"0933","At least one parent attended college","Neither parent attended college"
"0934","Neither parent attended college","Neither parent attended college"
"0935","Neither parent attended college","Neither parent attended college"
"0936",NA,"Neither parent attended college"
"0937","At least one parent attended college","At least one parent attended college"
"0938",NA,"Neither parent attended college"
"0939","At least one parent attended college","At least one parent attended college"
"0940","Neither parent attended college","At least one parent attended college"
"0941","Neither parent attended college","Neither parent attended college"
"0942","Neither parent attended college","At least one parent attended college"
"0943","At least one parent attended college","Neither parent attended college"
"0944","At least one parent attended college","At least one parent attended college"
"0945","Neither parent attended college","At least one parent attended college"
"0946","Neither parent attended college","Neither parent attended college"
"0947",NA,"Neither parent attended college"
"0948",NA,NA
"0949","At least one parent attended college","At least one parent attended college"
"0950","At least one parent attended college","Neither parent attended college"
"0951","Neither parent attended college","Neither parent attended college"
"0952","Neither parent attended college","At least one parent attended college"
"0953",NA,"Neither parent attended college"
"0954","At least one parent attended college","Neither parent attended college"
"0955","Neither parent attended college",NA
"0956","At least one parent attended college","At least one parent attended college"
"0957","Neither parent attended college","Neither parent attended college"
"0958","Neither parent attended college","Neither parent attended college"
"0959","At least one parent attended college","Neither parent attended college"
"0960",NA,"At least one parent attended college"
"0961","Neither parent attended college","Neither parent attended college"
"0962",NA,"Neither parent attended college"
"0963","Neither parent attended college","Neither parent attended college"
"0964","Neither parent attended college","At least one parent attended college"
"0965",NA,NA
"0966",NA,"Neither parent attended college"
"0967","At least one parent attended college","At least one parent attended college"
"0968","Neither parent attended college",NA
"0969","Neither parent attended college","Neither parent attended college"
"0970","Neither parent attended college","At least one parent attended college"
"0971",NA,"At least one parent attended college"
"0972","Neither parent attended college","Neither parent attended college"
"0973","Neither parent attended college","Neither parent attended college"
"0974",NA,"At least one parent attended college"
"0975","At least one parent attended college","At least one parent attended college"
"0976","Neither parent attended college","At least one parent attended college"
"0977","At least one parent attended college","At least one parent attended college"
"0978",NA,"At least one parent attended college"
"0979","Neither parent attended college","Neither parent attended college"
"0980",NA,NA
"0981",NA,NA
"0982","Neither parent attended college","At least one parent attended college"
"0983","At least one parent attended college","Neither parent attended college"
"0984","Neither parent attended college","At least one parent attended college"
"0985","Neither parent attended college","Neither parent attended college"
"0986","At least one parent attended college","At least one parent attended college"
"0987","Neither parent attended college","Neither parent attended college"
"0988","Neither parent attended college","Neither parent attended college"
"0989","Neither parent attended college",NA
"0990","At least one parent attended college","Neither parent attended college"
"0991",NA,"Neither parent attended college"
"0992","Neither parent attended college","Neither parent attended college"
"0993","At least one parent attended college",NA
"0994","Neither parent attended college","Neither parent attended college"
"0995","At least one parent attended college","At least one parent attended college"
"0996","Neither parent attended college","Neither parent attended college"
"0997","At least one parent attended college","At least one parent attended college"
"0998","At least one parent attended college","At least one parent attended college"
"0999",NA,NA
"1000","At least one parent attended college","Neither parent attended college"
"1001","Neither parent attended college","At least one parent attended college"
"1002","Neither parent attended college","Neither parent attended college"
"1003",NA,"Neither parent attended college"
"1004","Neither parent attended college","Neither parent attended college"
"1005","At least one parent attended college","Neither parent attended college"
"1006",NA,"Neither parent attended college"
"1007",NA,"Neither parent attended college"
"1008","Neither parent attended college","Neither parent attended college"
"1009","Neither parent attended college",NA
"1010","At least one parent attended college","Neither parent attended college"
"1011","At least one parent attended college","At least one parent attended college"
"1012",NA,"At least one parent attended college"
"1013","At least one parent attended college",NA
"1014","Neither parent attended college","Neither parent attended college"
"1015","At least one parent attended college","Neither parent attended college"
"1016","At least one parent attended college","At least one parent attended college"
"1017","Neither parent attended college","At least one parent attended college"
"1018","At least one parent attended college","At least one parent attended college"
"1019","Neither parent attended college","Neither parent attended college"
"1020","Neither parent attended college","Neither parent attended college"
"1021","Neither parent attended college","Neither parent attended college"
"1022","At least one parent attended college","Neither parent attended college"
"1023","Neither parent attended college","At least one parent attended college"
"1024","Neither parent attended college","Neither parent attended college"
"1025","At least one parent attended college","At least one parent attended college"
"1026",NA,"At least one parent attended college"
"1027","Neither parent attended college","At least one parent attended college"
"1028","Neither parent attended college",NA
"1029",NA,"At least one parent attended college"
"1030","At least one parent attended college",NA
"1031","At least one parent attended college","Neither parent attended college"
"1032",NA,"Neither parent attended college"
"1033","At least one parent attended college","At least one parent attended college"
"1034","Neither parent attended college","Neither parent attended college"
"1035","At least one parent attended college","Neither parent attended college"
"1036","At least one parent attended college","Neither parent attended college"
"1037","At least one parent attended college","Neither parent attended college"
"1038","Neither parent attended college","At least one parent attended college"
"1039","Neither parent attended college","Neither parent attended college"
"1040",NA,NA
"1041","Neither parent attended college","Neither parent attended college"
"1042","Neither parent attended college","Neither parent attended college"
"1043",NA,NA
"1044","At least one parent attended college","Neither parent attended college"
"1045","Neither parent attended college","At least one parent attended college"
"1046","At least one parent attended college","Neither parent attended college"
"1047",NA,"Neither parent attended college"
"1048","Neither parent attended college","Neither parent attended college"
"1049","Neither parent attended college","Neither parent attended college"
"1050","Neither parent attended college","At least one parent attended college"
"1051","At least one parent attended college",NA
"1052","Neither parent attended college","At least one parent attended college"
"1053",NA,"Neither parent attended college"
"1054","At least one parent attended college","Neither parent attended college"
"1055","At least one parent attended college","At least one parent attended college"
"1056","Neither parent attended college","Neither parent attended college"
"1057","Neither parent attended college","Neither parent attended college"
"1058","Neither parent attended college","Neither parent attended college"
"1059","Neither parent attended college","At least one parent attended college"
"1060","Neither parent attended college","Neither parent attended college"
"1061",NA,"Neither parent attended college"
"1062","Neither parent attended college","Neither parent attended college"
"1063","Neither parent attended college","Neither parent attended college"
"1064","Neither parent attended college","Neither parent attended college"
"1065","Neither parent attended college","Neither parent attended college"
"1066","Neither parent attended college","Neither parent attended college"
"1067","Neither parent attended college","Neither parent attended college"
"1068",NA,"At least one parent attended college"
"1069","Neither parent attended college","At least one parent attended college"
"1070","At least one parent attended college","At least one parent attended college"
"1071","Neither parent attended college","Neither parent attended college"
"1072","Neither parent attended college","At least one parent attended college"
"1073",NA,"At least one parent attended college"
"1074","Neither parent attended college","Neither parent attended college"
"1075","Neither parent attended college","Neither parent attended college"
"1076","At least one parent attended college","Neither parent attended college"
"1077","Neither parent attended college","At least one parent attended college"
"1078","Neither parent attended college","Neither parent attended college"
"1079","At least one parent attended college","Neither parent attended college"
"1080",NA,NA
"1081","Neither parent attended college","Neither parent attended college"
"1082","Neither parent attended college","At least one parent attended college"
"1083","Neither parent attended college","Neither parent attended college"
"1084","At least one parent attended college","Neither parent attended college"
"1085",NA,"At least one parent attended college"
"1086",NA,"Neither parent attended college"
"1087","Neither parent attended college","Neither parent attended college"
"1088","At least one parent attended college",NA
"1089","At least one parent attended college",NA
"1090",NA,NA
"1091","Neither parent attended college","Neither parent attended college"
"1092","Neither parent attended college","Neither parent attended college"
"1093","At least one parent attended college","Neither parent attended college"
"1094","Neither parent attended college","Neither parent attended college"
"1095","Neither parent attended college","At least one parent attended college"
"1096","Neither parent attended college","Neither parent attended college"
"1097","Neither parent attended college","Neither parent attended college"
"1098","Neither parent attended college","Neither parent attended college"
"1099","At least one parent attended college","Neither parent attended college"
"1100","At least one parent attended college","At least one parent attended college"
"1101","Neither parent attended college","At least one parent attended college"
"1102","At least one parent attended college","Neither parent attended college"
"1103","At least one parent attended college","Neither parent attended college"
"1104",NA,"At least one parent attended college"
"1105","At least one parent attended college","Neither parent attended college"
"1106","Neither parent attended college","Neither parent attended college"
"1107","At least one parent attended college","At least one parent attended college"
"1108",NA,NA
"1109","At least one parent attended college","Neither parent attended college"
"1110","At least one parent attended college","At least one parent attended college"
"1111",NA,NA
"1112","Neither parent attended college","Neither parent attended college"
"1113","Neither parent attended college","At least one parent attended college"
"1114","Neither parent attended college","Neither parent attended college"
"1115","At least one parent attended college","At least one parent attended college"
"1116",NA,"At least one parent attended college"
"1117","Neither parent attended college","Neither parent attended college"
"1118","At least one parent attended college","Neither parent attended college"
"1119",NA,"Neither parent attended college"
"1120","At least one parent attended college","Neither parent attended college"
"1121","Neither parent attended college","Neither parent attended college"
"1122","Neither parent attended college",NA
"1123","At least one parent attended college","At least one parent attended college"
"1124","Neither parent attended college","At least one parent attended college"
"1125","Neither parent attended college","Neither parent attended college"
"1126","At least one parent attended college","Neither parent attended college"
"1127",NA,NA
"1128","At least one parent attended college","At least one parent attended college"
"1129",NA,"Neither parent attended college"
"1130",NA,"Neither parent attended college"
"1131","Neither parent attended college","At least one parent attended college"
"1132","Neither parent attended college",NA
"1133","Neither parent attended college","Neither parent attended college"
"1134",NA,NA
"1135","At least one parent attended college","Neither parent attended college"
"1136",NA,"At least one parent attended college"
"1137",NA,"Neither parent attended college"
"1138",NA,"Neither parent attended college"
"1139","Neither parent attended college","At least one parent attended college"
"1140","Neither parent attended college","At least one parent attended college"
"1141",NA,"At least one parent attended college"
"1142",NA,NA
"1143","Neither parent attended college","At least one parent attended college"
"1144","Neither parent attended college",NA
"1145","At least one parent attended college","Neither parent attended college"
"1146","At least one parent attended college","Neither parent attended college"
"1147",NA,NA
"1148","At least one parent attended college","At least one parent attended college"
"1149","Neither parent attended college","Neither parent attended college"
"1150","At least one parent attended college","At least one parent attended college"
"1151","At least one parent attended college","Neither parent attended college"
"1152","Neither parent attended college","At least one parent attended college"
"1153",NA,NA
"1154",NA,"At least one parent attended college"
"1155","Neither parent attended college","Neither parent attended college"
"1156","Neither parent attended college","At least one parent attended college"
"1157","At least one parent attended college","At least one parent attended college"
"1158",NA,"Neither parent attended college"
"1159","Neither parent attended college","Neither parent attended college"
"1160",NA,"At least one parent attended college"
"1161","Neither parent attended college","Neither parent attended college"
"1162","At least one parent attended college","Neither parent attended college"
"1163",NA,"Neither parent attended college"
"1164","At least one parent attended college","Neither parent attended college"
"1165",NA,NA
"1166","Neither parent attended college","Neither parent attended college"
"1167","Neither parent attended college","Neither parent attended college"
"1168",NA,"Neither parent attended college"
"1169","Neither parent attended college","Neither parent attended college"
"1170","Neither parent attended college","Neither parent attended college"
"1171","At least one parent attended college","At least one parent attended college"
"1172","Neither parent attended college","Neither parent attended college"
"1173","At least one parent attended college","Neither parent attended college"
"1174","Neither parent attended college","Neither parent attended college"
"1175","At least one parent attended college","Neither parent attended college"
"1176","At least one parent attended college","At least one parent attended college"
"1177",NA,"Neither parent attended college"
"1178","Neither parent attended college","Neither parent attended college"
"1179",NA,"Neither parent attended college"
"1180","At least one parent attended college","Neither parent attended college"
"1181","At least one parent attended college",NA
"1182","At least one parent attended college","Neither parent attended college"
"1183",NA,"Neither parent attended college"
"1184","Neither parent attended college","Neither parent attended college"
"1185","Neither parent attended college","At least one parent attended college"
"1186","At least one parent attended college","At least one parent attended college"
"1187",NA,"Neither parent attended college"
"1188","Neither parent attended college","At least one parent attended college"
"1189","Neither parent attended college","Neither parent attended college"
"1190","Neither parent attended college",NA
"1191","At least one parent attended college","Neither parent attended college"
"1192",NA,"At least one parent attended college"
"1193","Neither parent attended college","At least one parent attended college"
"1194","Neither parent attended college","Neither parent attended college"
"1195","Neither parent attended college","Neither parent attended college"
"1196","At least one parent attended college","Neither parent attended college"
"1197","Neither parent attended college","Neither parent attended college"
"1198",NA,"Neither parent attended college"
"1199","At least one parent attended college","At least one parent attended college"
"1200",NA,"At least one parent attended college"
"1201","Neither parent attended college","Neither parent attended college"
"1202",NA,"At least one parent attended college"
"1203","Neither parent attended college","Neither parent attended college"
"1204","Neither parent attended college",NA
"1205","Neither parent attended college",NA
"1206","Neither parent attended college","Neither parent attended college"
"1207","At least one parent attended college","At least one parent attended college"
"1208","Neither parent attended college","Neither parent attended college"
"1209","Neither parent attended college","At least one parent attended college"
"1210","Neither parent attended college","At least one parent attended college"
"1211",NA,"Neither parent attended college"
"1212","Neither parent attended college","Neither parent attended college"
"1213","At least one parent attended college","At least one parent attended college"
"1214","At least one parent attended college","Neither parent attended college"
"1215",NA,"Neither parent attended college"
"1216","At least one parent attended college","At least one parent attended college"
"1217",NA,"Neither parent attended college"
"1218","Neither parent attended college","Neither parent attended college"
"1219","Neither parent attended college","Neither parent attended college"
"1220","Neither parent attended college","At least one parent attended college"
"1221","Neither parent attended college","Neither parent attended college"
"1222",NA,NA
"1223",NA,"At least one parent attended college"
"1224","At least one parent attended college","At least one parent attended college"
"1225","At least one parent attended college","Neither parent attended college"
"1226",NA,"At least one parent attended college"
"1227","At least one parent attended college","At least one parent attended college"
"1228","At least one parent attended college","At least one parent attended college"
"1229",NA,NA
"1230","Neither parent attended college","Neither parent attended college"
"1231","At least one parent attended college","At least one parent attended college"
"1232","Neither parent attended college","Neither parent attended college"
"1233","Neither parent attended college","At least one parent attended college"
"1234","At least one parent attended college","Neither parent attended college"
"1235","At least one parent attended college","At least one parent attended college"
"1236","Neither parent attended college","Neither parent attended college"
"1237",NA,"At least one parent attended college"
"1238","Neither parent attended college","Neither parent attended college"
"1239","At least one parent attended college","Neither parent attended college"
"1240",NA,"At least one parent attended college"
"1241","Neither parent attended college","At least one parent attended college"
"1242","Neither parent attended college","Neither parent attended college"
"1243",NA,"At least one parent attended college"
"1244","Neither parent attended college","Neither parent attended college"
"1245","Neither parent attended college",NA
"1246","Neither parent attended college","Neither parent attended college"
"1247",NA,"At least one parent attended college"
"1248",NA,"Neither parent attended college"
"1249",NA,"Neither parent attended college"
"1250",NA,"At least one parent attended college"
"1251",NA,NA
"1252","At least one parent attended college","At least one parent attended college"
"1253",NA,NA
"1254","Neither parent attended college","Neither parent attended college"
"1255",NA,"At least one parent attended college"
"1256",NA,"Neither parent attended college"
"1257",NA,"Neither parent attended college"
"1258",NA,NA
"1259","Neither parent attended college","At least one parent attended college"
"1260","Neither parent attended college","Neither parent attended college"
"1261","At least one parent attended college","At least one parent attended college"
"1262",NA,"At least one parent attended college"
"1263","Neither parent attended college","At least one parent attended college"
"1264","Neither parent attended college","Neither parent attended college"
"1265","At least one parent attended college","Neither parent attended college"
"1266","At least one parent attended college","Neither parent attended college"
"1267","Neither parent attended college","Neither parent attended college"
"1268","At least one parent attended college","At least one parent attended college"
"1269","At least one parent attended college","Neither parent attended college"
"1270","Neither parent attended college","Neither parent attended college"
"1271","Neither parent attended college","At least one parent attended college"
"1272",NA,NA
"1273",NA,"At least one parent attended college"
"1274","At least one parent attended college","Neither parent attended college"
"1275","At least one parent attended college",NA
"1276","Neither parent attended college","Neither parent attended college"
"1277","Neither parent attended college","Neither parent attended college"
"1278","Neither parent attended college","Neither parent attended college"
"1279","At least one parent attended college","At least one parent attended college"
"1280","Neither parent attended college","Neither parent attended college"
"1281","At least one parent attended college","At least one parent attended college"
"1282","At least one parent attended college","At least one parent attended college"
"1283",NA,"Neither parent attended college"
"1284","Neither parent attended college","At least one parent attended college"
"1285","Neither parent attended college",NA
"1286","Neither parent attended college","Neither parent attended college"
"1287",NA,NA
"1288","Neither parent attended college","Neither parent attended college"
"1289","Neither parent attended college","Neither parent attended college"
"1290","Neither parent attended college","Neither parent attended college"
"1291","Neither parent attended college","At least one parent attended college"
"1292","Neither parent attended college","Neither parent attended college"
"1293","At least one parent attended college","Neither parent attended college"
"1294","Neither parent attended college","Neither parent attended college"
"1295","Neither parent attended college",NA
"1296","Neither parent attended college","Neither parent attended college"
"1297",NA,"At least one parent attended college"
"1298","Neither parent attended college","Neither parent attended college"
"1299","At least one parent attended college","At least one parent attended college"
"1300","Neither parent attended college","Neither parent attended college"
"1301",NA,"At least one parent attended college"
"1302",NA,"Neither parent attended college"
"1303","Neither parent attended college",NA
"1304","At least one parent attended college","Neither parent attended college"
"1305","Neither parent attended college","Neither parent attended college"
"1306",NA,NA
"1307","At least one parent attended college","Neither parent attended college"
"1308","Neither parent attended college","Neither parent attended college"
"1309",NA,"Neither parent attended college"
"1310",NA,NA
"1311",NA,"At least one parent attended college"
"1312","Neither parent attended college","Neither parent attended college"
"1313","Neither parent attended college","Neither parent attended college"
"1314","At least one parent attended college","At least one parent attended college"
"1315","Neither parent attended college","At least one parent attended college"
"1316","At least one parent attended college","Neither parent attended college"
"1317","At least one parent attended college","At least one parent attended college"
"1318","Neither parent attended college","At least one parent attended college"
"1319","Neither parent attended college","At least one parent attended college"
"1320",NA,"Neither parent attended college"
"1321","Neither parent attended college","Neither parent attended college"
"1322","At least one parent attended college","Neither parent attended college"
"1323","Neither parent attended college","Neither parent attended college"
"1324","Neither parent attended college","Neither parent attended college"
"1325",NA,NA
"1326",NA,"At least one parent attended college"
"1327",NA,NA
"1328","Neither parent attended college","Neither parent attended college"
"1329",NA,"Neither parent attended college"
"1330","Neither parent attended college","At least one parent attended college"
"1331","Neither parent attended college","At least one parent attended college"
"1332",NA,"Neither parent attended college"
"1333",NA,"At least one parent attended college"
"1334","Neither parent attended college","Neither parent attended college"
"1335","Neither parent attended college",NA
"1336","Neither parent attended college","Neither parent attended college"
"1337",NA,"At least one parent attended college"
"1338","Neither parent attended college","Neither parent attended college"
"1339","At least one parent attended college","At least one parent attended college"
"1340","Neither parent attended college","Neither parent attended college"
"1341","Neither parent attended college","Neither parent attended college"
"1342","At least one parent attended college","Neither parent attended college"
"1343",NA,"At least one parent attended college"
"1344","Neither parent attended college","Neither parent attended college"
"1345","Neither parent attended college",NA
"1346","At least one parent attended college","Neither parent attended college"
"1347","Neither parent attended college","At least one parent attended college"
"1348","At least one parent attended college","At least one parent attended college"
"1349","At least one parent attended college","At least one parent attended college"
"1350","At least one parent attended college","At least one parent attended college"
"1351","Neither parent attended college","Neither parent attended college"
"1352",NA,NA
"1353","Neither parent attended college","Neither parent attended college"
"1354",NA,"Neither parent attended college"
"1355",NA,"At least one parent attended college"
"1356",NA,"Neither parent attended college"
"1357","Neither parent attended college","At least one parent attended college"
"1358","Neither parent attended college","Neither parent attended college"
"1359","Neither parent attended college","Neither parent attended college"
"1360",NA,"Neither parent attended college"
"1361","At least one parent attended college","Neither parent attended college"
"1362",NA,"Neither parent attended college"
"1363","Neither parent attended college","Neither parent attended college"
"1364","Neither parent attended college","Neither parent attended college"
"1365","Neither parent attended college","At least one parent attended college"
"1366","Neither parent attended college","Neither parent attended college"
"1367","At least one parent attended college","At least one parent attended college"
"1368",NA,"Neither parent attended college"
"1369","Neither parent attended college","Neither parent attended college"
"1370","Neither parent attended college","Neither parent attended college"
"1371","Neither parent attended college",NA
"1372","Neither parent attended college","Neither parent attended college"
"1373","Neither parent attended college","Neither parent attended college"
"1374",NA,NA
"1375","Neither parent attended college","Neither parent attended college"
"1376",NA,"At least one parent attended college"
"1377","Neither parent attended college","At least one parent attended college"
"1378","Neither parent attended college","At least one parent attended college"
"1379","Neither parent attended college","Neither parent attended college"
"1380","Neither parent attended college","Neither parent attended college"
"1381","Neither parent attended college","At least one parent attended college"
"1382","Neither parent attended college","Neither parent attended college"
"1383",NA,NA
"1384",NA,"Neither parent attended college"
"1385","At least one parent attended college","Neither parent attended college"
"1386",NA,"Neither parent attended college"
"1387",NA,"Neither parent attended college"
"1388","At least one parent attended college","At least one parent attended college"
"1389",NA,NA
"1390","Neither parent attended college","Neither parent attended college"
"1391","Neither parent attended college","At least one parent attended college"
"1392","Neither parent attended college","Neither parent attended college"
"1393","Neither parent attended college","At least one parent attended college"
"1394","Neither parent attended college","Neither parent attended college"
"1395","Neither parent attended college","At least one parent attended college"
"1396","Neither parent attended college","At least one parent attended college"
"1397","Neither parent attended college","Neither parent attended college"
"1398","Neither parent attended college","Neither parent attended college"
"1399","Neither parent attended college","At least one parent attended college"
"1400","At least one parent attended college","Neither parent attended college"
"1401","Neither parent attended college","At least one parent attended college"
"1402","At least one parent attended college","Neither parent attended college"
"1403","At least one parent attended college","Neither parent attended college"
"1404","At least one parent attended college","Neither parent attended college"
"1405","Neither parent attended college","Neither parent attended college"
"1406",NA,NA
"1407","At least one parent attended college","At least one parent attended college"
"1408","Neither parent attended college","Neither parent attended college"
"1409","Neither parent attended college","Neither parent attended college"
"1410",NA,"At least one parent attended college"
"1411","Neither parent attended college","Neither parent attended college"
"1412",NA,"Neither parent attended college"
"1413","Neither parent attended college","Neither parent attended college"
"1414","Neither parent attended college","Neither parent attended college"
"1415","At least one parent attended college","Neither parent attended college"
"1416","Neither parent attended college","At least one parent attended college"
"1417","Neither parent attended college","At least one parent attended college"
"1418",NA,"Neither parent attended college"
"1419",NA,"Neither parent attended college"
"1420","Neither parent attended college","Neither parent attended college"
"1421","At least one parent attended college","Neither parent attended college"
"1422","At least one parent attended college","At least one parent attended college"
"1423","Neither parent attended college","Neither parent attended college"
"1424","At least one parent attended college","At least one parent attended college"
"1425",NA,"At least one parent attended college"
"1426",NA,"At least one parent attended college"
"1427","At least one parent attended college","At least one parent attended college"
"1428","At least one parent attended college",NA
"1429",NA,"Neither parent attended college"
"1430","At least one parent attended college","Neither parent attended college"
"1431",NA,"Neither parent attended college"
"1432",NA,"Neither parent attended college"
"1433","Neither parent attended college","At least one parent attended college"
"1434",NA,"Neither parent attended college"
