"idnum","k6b20a","k6b20b","k6b20c","k6b20d"
"0943","B","A","B","B"
"0944","B","C","A","C"
"0945","B","C","D or lower","C"
"0946","B","A","C","B"
"0947",NA,NA,NA,NA
"0948","C","B","B",NA
"0949",NA,NA,NA,NA
"0950","A","B","B","A"
"0951","B","B","C","D or lower"
"0952","A","A","A","B"
"0953",NA,NA,NA,NA
"0954",NA,NA,NA,NA
"0955","D or lower","C","D or lower","D or lower"
"0956","A","C",NA,"B"
"0957","C","B","D or lower","A"
"0958","C","B","B","B"
"0959","A","C","A","A"
"0960","D or lower","C","D or lower","B"
"0961",NA,NA,NA,NA
"0962","A","B","A","C"
"0963","C","B",NA,"A"
"0964","B","B","B","B"
"0965",NA,NA,NA,NA
"0966","B","C","D or lower","B"
"0967","B","A","A","A"
"0968","A","C","B","A"
"0969","C","C","B","A"
"0970",NA,NA,NA,NA
"0971","B","C","B","B"
"0972","B",NA,"C","A"
"0973","B","C","A","A"
"0974","B","B","B","B"
"0975","C","B","B","A"
"0976",NA,NA,NA,NA
"0977","A","A","A","A"
"0978",NA,NA,NA,NA
"0979","B","B","B","B"
"0980",NA,NA,NA,NA
"0981",NA,NA,NA,NA
"0982","B","B","B","B"
"0983",NA,NA,NA,NA
"0984","B","B","C","B"
"0985","B","B","C","B"
"0986",NA,NA,NA,NA
"0987",NA,NA,NA,NA
"0988","C","C","B","C"
"0989","B","C","A","B"
"0990","D or lower","B",NA,"B"
"0991",NA,NA,NA,NA
"0992","B","C","D or lower","A"
"0993","C","B","B","C"
"0994","A","A","A","A"
"0995","B","B","B","C"
"0996",NA,NA,NA,NA
"0997","A","A","B","B"
"0998","B","C","B","D or lower"
"0999",NA,NA,NA,NA
"1000","A","A","B","C"
"1001","B","C","B","B"
"1002","A","A","A","A"
"1003",NA,NA,NA,NA
"1004","B","C","A","B"
"1005",NA,NA,NA,NA
"1006","B","B","B","A"
"1007",NA,NA,NA,NA
"1008","B","C","B","B"
"1009",NA,NA,NA,NA
"1010","C","B","C","B"
"1011","C","A","A","B"
"1012","B","C","A","B"
"1013",NA,NA,NA,NA
"1014","D or lower","D or lower","C","D or lower"
"1015",NA,NA,NA,NA
"1016","A","A","A","B"
"1017","B","C","B","B"
"1018","A","A",NA,"A"
"1019","A","B","B","B"
"1020","A","B","B","C"
"1021","B","C","B","C"
"1022",NA,NA,NA,NA
"1023","B","B","C","B"
"1024","B","B","B","B"
"1025",NA,NA,NA,NA
"1026","D or lower","A","B","B"
"1027","A","A","A","B"
"1028",NA,NA,NA,NA
"1029",NA,NA,NA,NA
"1030","C","C","B","C"
"1031","A","D or lower","B","C"
"1032","B","B","B","C"
"1033","A","A","C","A"
"1034","A","B",NA,"A"
"1035",NA,NA,NA,NA
"1036","B","C","A","B"
"1037","A","A","A","B"
"1038","B","B","B","A"
"1039",NA,NA,NA,NA
"1040",NA,NA,NA,NA
"1041","B","B","A","B"
"1042","C","D or lower","B","A"
"1043","A","C","A","B"
"1044","C","B","C","C"
"1045","A","B","A","C"
"1046",NA,NA,NA,NA
"1047","B","A","C","B"
"1048","B","C","D or lower","C"
"1049",NA,NA,NA,NA
"1050",NA,"A",NA,"B"
"1051",NA,NA,NA,NA
"1052","B","A","B","B"
"1053",NA,NA,NA,NA
"1054","A","A","B","B"
"1055","A","B","A","B"
"1056","C","A",NA,"B"
"1057","B","A",NA,"B"
"1058",NA,NA,NA,NA
"1059",NA,NA,NA,NA
"1060","C","B","B","C"
"1061",NA,NA,NA,NA
"1062","D or lower","C","B","D or lower"
"1063",NA,NA,NA,NA
"1064",NA,NA,NA,NA
"1065",NA,NA,NA,NA
"1066",NA,NA,NA,NA
"1067","A","B",NA,"C"
"1068","D or lower","D or lower","C","C"
"1069","B","A","B","B"
"1070","C","C","B","A"
"1071","A","C","C","B"
"1072","B","C","B","C"
"1073","A","A","B","A"
"1074","D or lower","C","B","C"
"1075",NA,NA,NA,NA
"1076",NA,NA,NA,NA
"1077","A","B","B","C"
"1078","A","C","C","D or lower"
"1079","C","B","C","D or lower"
"1080",NA,NA,NA,NA
"1081",NA,NA,NA,NA
"1082","B","B","A","B"
"1083","B","C","B","C"
"1084","B","B","A","B"
"1085","A","B","B","A"
"1086","C","D or lower","B","B"
"1087","C","B",NA,"B"
"1088","B","A","B","C"
"1089","C","C","D or lower","B"
"1090",NA,NA,NA,NA
"1091","B","C","C","C"
"1092",NA,NA,NA,NA
"1093","C","D or lower","C","D or lower"
"1094","B","A","B","A"
"1095","C","D or lower","B","B"
"1096","B","C",NA,"B"
"1097","C","B","B","C"
"1098","B","A","A","B"
"1099",NA,NA,NA,NA
"1100",NA,NA,NA,NA
"1101",NA,NA,NA,NA
"1102","B","B","B","A"
"1103",NA,NA,NA,NA
"1104","C","D or lower","D or lower","D or lower"
"1105",NA,NA,NA,NA
"1106","C","B","C","B"
"1107",NA,"A",NA,"A"
"1108","B","A","C","B"
"1109","B","B","C",NA
"1110","B","B","A","B"
"1111",NA,NA,NA,NA
"1112","A","B","B","A"
"1113",NA,NA,NA,NA
"1114","A","A","A","A"
"1115","B","D or lower","D or lower","D or lower"
"1116","B","A","B","A"
"1117","A","B","A","A"
"1118","B","A","A","A"
"1119","C","D or lower",NA,NA
"1120","A","A","B","A"
"1121","C","B","B","B"
"1122","B","B","B","A"
"1123","A","A","A","B"
"1124","A","C","B","A"
"1125","A","C","B","B"
"1126","A","B","C","C"
"1127",NA,NA,NA,NA
"1128","B","A","B","B"
"1129","B","D or lower","B","B"
"1130","A","B","B","A"
"1131","C","B","D or lower",NA
"1132",NA,NA,NA,NA
"1133","A","C","B","B"
"1134","A","A","A","A"
"1135","B","B","D or lower","B"
"1136",NA,NA,NA,NA
"1137",NA,NA,NA,NA
"1138",NA,NA,NA,NA
"1139","B","B","C","B"
"1140","A","A","A","A"
"1141","A","A","A","B"
"1142",NA,NA,NA,NA
"1143","C","B","C","B"
"1144",NA,NA,NA,NA
"1145","B","C",NA,"B"
"1146",NA,NA,NA,NA
"1147","D or lower","D or lower","D or lower","C"
"1148","B","C","A","B"
"1149","C","C","B","B"
"1150",NA,"C","B","C"
"1151","B","C",NA,"B"
"1152",NA,"C","D or lower","D or lower"
"1153",NA,NA,NA,NA
"1154","A","B","A","B"
"1155","B","B","A","A"
"1156",NA,NA,NA,NA
"1157","B","A","B","B"
"1158","C","C","B","C"
"1159","A","A","A","A"
"1160",NA,NA,NA,NA
"1161","C","D or lower","B","A"
"1162",NA,NA,NA,NA
"1163","B","A","C","A"
"1164","A","D or lower","A","A"
"1165",NA,NA,NA,NA
"1166","B","C","A","A"
"1167",NA,NA,NA,NA
"1168","A","A","A","A"
"1169","C","B","B","C"
"1170",NA,NA,NA,NA
"1171","A","A","B","B"
"1172","B","A","A","B"
"1173","A","C","C","A"
"1174","C","C","A","D or lower"
"1175",NA,NA,"D or lower","C"
"1176","B","C",NA,"C"
"1177",NA,NA,NA,NA
"1178","B","C","C",NA
"1179",NA,NA,NA,NA
"1180",NA,NA,NA,NA
"1181","A","C","A","C"
"1182","C","B","C","C"
"1183","B","C","C","B"
"1184","B","B","B","C"
"1185",NA,NA,NA,NA
"1186","A","A","A","A"
"1187",NA,NA,NA,NA
"1188","D or lower","B","A","B"
"1189","A","A",NA,NA
"1190","A","B","A","C"
"1191","C","C","C","B"
"1192",NA,NA,NA,NA
"1193","B","A","D or lower","B"
"1194",NA,NA,NA,NA
"1195","D or lower","D or lower","C","B"
"1196","C","B","A","C"
"1197",NA,NA,NA,NA
"1198","D or lower","D or lower","D or lower","D or lower"
"1199",NA,NA,NA,NA
"1200",NA,NA,NA,NA
"1201","B","C","C","D or lower"
"1202","C","A",NA,"A"
"1203","A","B","A","C"
"1204","A","A","A","B"
"1205",NA,NA,NA,NA
"1206",NA,NA,NA,NA
"1207","C","D or lower","C","C"
"1208","B","B","A","B"
"1209","B","C","B","C"
"1210","C","B","B","A"
"1211","C","B","C","D or lower"
"1212","B","C","B","C"
"1213","C","A","B","B"
"1214","B","C","A","C"
"1215","B","B","B","C"
"1216",NA,NA,NA,NA
"1217","C","B","C","C"
"1218","D or lower","D or lower","D or lower","D or lower"
"1219",NA,NA,NA,NA
"1220",NA,NA,"A","C"
"1221","B","A","A","A"
"1222","B","B","B","B"
"1223","C","C","C","C"
"1224",NA,NA,NA,NA
"1225","B","A","B","B"
"1226","B","A","B","C"
"1227","A","A","B","B"
"1228","B","B","C","D or lower"
"1229",NA,NA,NA,NA
"1230","B","C","B","B"
"1231","B","D or lower","C","C"
"1232",NA,NA,NA,NA
"1233","D or lower","C","D or lower","D or lower"
"1234","A","A","B","A"
"1235","B","B","A","A"
"1236","B","B","A","C"
"1237",NA,NA,NA,NA
"1238","B","C","D or lower","C"
"1239",NA,NA,NA,NA
"1240",NA,NA,NA,NA
"1241","A","A","B","A"
"1242","B","A","C","C"
"1243","A","B","A","A"
"1244",NA,NA,NA,NA
"1245",NA,NA,NA,NA
"1246",NA,NA,NA,NA
"1247",NA,NA,NA,NA
"1248","A","D or lower",NA,NA
"1249",NA,NA,NA,NA
"1250","B","B","A","B"
"1251",NA,NA,NA,NA
"1252","B","A","B","B"
"1253",NA,NA,NA,NA
"1254","B","B","B","C"
"1255",NA,"C","C","C"
"1256","A","B","A","A"
"1257","B","B","C","C"
"1258",NA,NA,NA,NA
"1259","B","B","C","A"
"1260","B","A","B","B"
"1261","A","B","A","A"
"1262","B","C","B",NA
"1263","A","D or lower","A","C"
"1264","A","A",NA,"B"
"1265","B","B","D or lower","C"
"1266","B","B","C","C"
"1267","C","B","B","D or lower"
"1268",NA,NA,"C","C"
"1269","A","D or lower","B","C"
"1270",NA,NA,NA,NA
"1271",NA,NA,NA,NA
"1272",NA,NA,NA,NA
"1273",NA,NA,NA,NA
"1274","B","C","B","B"
"1275",NA,NA,NA,NA
"1276",NA,NA,NA,NA
"1277","B","B","B","C"
"1278","B","C","B","B"
"1279",NA,NA,NA,NA
"1280","A","B","B","A"
"1281","B","B","A","A"
"1282","B","A","C","C"
"1283",NA,NA,NA,NA
"1284",NA,NA,NA,NA
"1285","A","A","A","A"
"1286","B","A","B","A"
"1287",NA,NA,NA,NA
"1288",NA,NA,NA,NA
"1289","D or lower","D or lower","D or lower","D or lower"
"1290","C","C","D or lower","D or lower"
"1291",NA,NA,"A","C"
"1292","B","C","B","C"
"1293",NA,NA,NA,NA
"1294",NA,NA,NA,NA
"1295",NA,NA,NA,NA
"1296",NA,NA,NA,NA
"1297","A","B","A","C"
"1298","C","B","D or lower","B"
"1299","C",NA,"B","A"
"1300",NA,NA,NA,NA
"1301",NA,NA,NA,NA
"1302",NA,NA,NA,NA
"1303",NA,NA,NA,NA
"1304","A","B","A","A"
"1305","A","B","A","A"
"1306",NA,NA,NA,NA
"1307","B","B","B","A"
"1308","D or lower","B","A","B"
"1309",NA,NA,NA,NA
"1310",NA,NA,NA,NA
"1311","B","B","B","C"
"1312",NA,NA,NA,NA
"1313","A","D or lower","A","A"
"1314","A","B","B","B"
"1315",NA,NA,NA,NA
"1316","B","C","B","B"
"1317","B","C",NA,"A"
"1318","C","B","B","B"
"1319","A","A",NA,"B"
"1320","B","C","B","B"
"1321","B","B","B","C"
"1322","D or lower","B","A","C"
"1323",NA,NA,NA,NA
"1324","B","A","C","D or lower"
"1325",NA,NA,NA,NA
"1326","B","B","A","B"
"1327",NA,NA,NA,NA
"1328",NA,NA,NA,NA
"1329","A","C","B","C"
"1330","A","A","B","A"
"1331",NA,NA,NA,NA
"1332","A","A","B","B"
"1333","A","C","A","A"
"1334",NA,NA,NA,NA
"1335",NA,NA,NA,NA
"1336","C","A","B","D or lower"
"1337","C","C","B","D or lower"
"1338","A","B","A","A"
"1339","B","A","B","B"
"1340",NA,"B","A","C"
"1341","A","B","A","A"
"1342","A","A","A","A"
"1343","D or lower","D or lower","B","B"
"1344","B","B","C","B"
"1345","C","B","C","C"
"1346","B","B","C","A"
"1347","B","B","B",NA
"1348",NA,NA,NA,NA
"1349","A","A","B","A"
"1350","B","B","C","B"
"1351","B","B","A","B"
"1352","C","C","B","C"
"1353","B","B","A","B"
"1354",NA,NA,NA,NA
"1355",NA,NA,NA,NA
"1356","A","B","B","A"
"1357","B","C","A","C"
"1358","A","B","A","B"
"1359","D or lower","A","C","C"
"1360","B",NA,"B",NA
"1361","B","C","C","C"
"1362","C","C","B","A"
"1363","B","D or lower","A","C"
"1364","B","C","B","B"
"1365","A","B","A","B"
"1366","C","B","D or lower","D or lower"
"1367","B","B","B","C"
"1368","B",NA,NA,NA
"1369","D or lower","D or lower","B","B"
"1370","A","C","B",NA
"1371","A","A","A","B"
"1372",NA,NA,NA,NA
"1373",NA,NA,NA,NA
"1374","B","A","B","B"
"1375","B","C","B","B"
"1376",NA,NA,NA,NA
"1377",NA,NA,NA,NA
"1378",NA,NA,NA,NA
"1379","B","A","C","A"
"1380","D or lower","D or lower","D or lower","B"
"1381","B","C","B","B"
"1382",NA,NA,NA,NA
"1383","D or lower","D or lower","C","C"
"1384",NA,NA,NA,NA
"1385","B","B","A","B"
"1386",NA,NA,NA,NA
"1387","B","C","B","A"
"1388","A","C","A","B"
"1389","B","D or lower","D or lower","D or lower"
"1390","C","B","A",NA
"1391",NA,NA,NA,NA
"1392",NA,NA,NA,NA
"1393","A","A","A","B"
"1394","C","B","D or lower","A"
"1395",NA,NA,NA,NA
"1396",NA,NA,NA,NA
"1397","B",NA,"B","C"
"1398",NA,NA,NA,NA
"1399","A","B",NA,"B"
"1400",NA,NA,NA,NA
"1401","B","D or lower","A","C"
"1402",NA,NA,NA,NA
"1403","A","A","A","A"
"1404","C","B","C","D or lower"
"1405","C","B","C","A"
"1406","C","C","D or lower","B"
"1407",NA,"A","B","A"
"1408","B","C","C","B"
"1409","A","C","C","B"
"1410",NA,NA,NA,NA
"1411",NA,NA,NA,NA
"1412","B","C","A","D or lower"
"1413","A","B","A","C"
"1414","A","B","B","B"
"1415","B","A","B","A"
"1416","B","C","A","B"
"1417","B","C","B","B"
"1418",NA,NA,NA,NA
"1419",NA,NA,NA,NA
"1420","C","B","C","B"
"1421",NA,NA,NA,NA
"1422","A","B","B","B"
"1423","B","C","C","A"
"1424","A","A","A","A"
"1425",NA,NA,NA,NA
"1426",NA,NA,NA,NA
"1427","B","B","A","A"
"1428",NA,NA,NA,NA
"1429",NA,NA,NA,NA
"1430",NA,NA,NA,NA
"1431",NA,NA,NA,NA
"1432","B","B","C","D or lower"
"1433","C","C","C","D or lower"
"1434","B","C","C","C"
"1435","B","B","C","B"
"1436","B","B","B","A"
"1437","B","B","C","C"
"1438","B","A",NA,"B"
"1439","A","B","B","B"
"1440",NA,NA,NA,NA
"1441",NA,NA,NA,NA
"1442",NA,NA,NA,NA
"1443",NA,NA,NA,NA
"1444",NA,NA,NA,NA
"1445","C","B","B","A"
"1446","B","B","C","C"
"1447","C","B","B","B"
"1448","B","C","B","B"
"1449","B","B","A","B"
"1450","B","C","C","B"
"1451","A","A","A","A"
"1452",NA,NA,NA,NA
"1453","A","B","A","A"
"1454","C","B","B","C"
"1455",NA,NA,NA,NA
"1456","A","A","A","A"
"1457","B","B","C","C"
"1458",NA,NA,NA,NA
"1459",NA,NA,NA,NA
"1460","C","B","B","A"
"1461","B","C","A","C"
"1462",NA,NA,NA,NA
"1463",NA,NA,NA,NA
"1464",NA,NA,NA,NA
"1465",NA,NA,NA,NA
"1466",NA,NA,NA,NA
"1467","C","C","A","A"
"1468",NA,NA,NA,NA
"1469","B","A","B","B"
"1470",NA,NA,NA,NA
"1471","A","A","A","A"
"1472",NA,NA,NA,NA
"1473","B","C","C","A"
"1474","A","C","B","B"
"1475","B","A","A","B"
"1476","B","B","A","A"
"1477",NA,NA,NA,NA
"1478",NA,NA,NA,NA
"1479","B","B","C","B"
"1480","C","C",NA,NA
"1481",NA,NA,NA,NA
"1482","D or lower","B","B","C"
"1483","B","D or lower","A","C"
"1484","C","B","B","B"
"1485",NA,NA,NA,NA
"1486","A","A","A","B"
"1487","D or lower","C","A","B"
"1488","B","A","B","D or lower"
"1489",NA,NA,NA,NA
"1490","B","A","A","B"
"1491",NA,NA,NA,NA
"1492",NA,NA,NA,NA
"1493",NA,NA,NA,NA
"1494","C","C","B","B"
"1495",NA,"D or lower",NA,NA
"1496","B","B","C","C"
"1497","A","A","A","A"
"1498","C","B","A","A"
"1499","C","B","B","B"
"1500","B","C","C","D or lower"
"1501","B","A","C","B"
"1502",NA,NA,NA,NA
"1503","B","A","A","B"
"1504",NA,NA,NA,NA
"1505","C","B","B","B"
"1506","B","B","A","B"
"1507","B","B","C","B"
"1508","C",NA,"C","C"
"1509",NA,NA,NA,NA
"1510","D or lower",NA,"B","B"
"1511",NA,NA,NA,NA
"1512",NA,NA,NA,"B"
"1513",NA,NA,NA,NA
"1514","A","A","B","A"
"1515",NA,NA,NA,NA
"1516","A","C","B","A"
"1517","A","A",NA,"A"
"1518","B","C","B","C"
"1519",NA,NA,NA,NA
"1520",NA,NA,NA,NA
"1521","B","A",NA,"B"
"1522","D or lower","C","D or lower","C"
"1523",NA,NA,NA,NA
"1524","B","C","B","C"
"1525","A","B","A","A"
"1526","C","D or lower",NA,"C"
"1527","B","B","B","A"
"1528","B","B","A",NA
"1529","B","B","C","B"
"1530","A","A","A","A"
"1531",NA,NA,NA,NA
"1532","B","B","B","A"
"1533",NA,NA,NA,NA
"1534",NA,NA,NA,NA
"1535","B",NA,NA,NA
"1536","C","C","B","B"
"1537","A","A","B",NA
"1538","B","C","B","A"
"1539",NA,NA,NA,NA
"1540","B","C","B","B"
"1541","A","B","A","B"
"1542","B","B","B","A"
"1543","B","A","A","A"
"1544","A","C","C","C"
"1545","B","B",NA,"C"
"1546","D or lower","B",NA,"D or lower"
"1547",NA,NA,NA,NA
"1548",NA,NA,NA,NA
"1549",NA,NA,NA,NA
"1550",NA,NA,NA,NA
"1551","D or lower","D or lower","B","B"
"1552","C","B","C","B"
"1553","D or lower","B","D or lower","D or lower"
"1554","C","D or lower","B","C"
"1555","A","B","A","A"
"1556",NA,NA,NA,NA
"1557","B","B","A","A"
"1558","C","B",NA,"B"
"1559","B","D or lower","C","B"
"1560",NA,NA,NA,NA
"1561","C","C","B","C"
"1562","A","B","C","A"
"1563",NA,NA,NA,NA
"1564",NA,NA,NA,NA
"1565","A","A","A",NA
"1566","A","B","B","A"
"1567","C","B","D or lower","C"
"1568",NA,NA,NA,NA
"1569","B","C","B","A"
"1570","D or lower","B","D or lower","C"
"1571","B","B","C","C"
"1572",NA,NA,NA,NA
"1573","A","A","A","B"
"1574",NA,NA,NA,NA
"1575","C","C","B","B"
"1576","D or lower","C","C","D or lower"
"1577",NA,NA,NA,NA
"1578","C","B","B","C"
"1579",NA,NA,NA,NA
"1580","A",NA,"A","A"
"1581","D or lower","C",NA,"D or lower"
"1582",NA,NA,NA,NA
"1583","A","C","A","C"
"1584","A","B","A","A"
"1585",NA,NA,NA,NA
"1586","B","C",NA,"D or lower"
"1587","B","B","B","A"
"1588",NA,NA,NA,NA
"1589","C","B",NA,"C"
"1590","B","C","B","B"
"1591","B","C",NA,"B"
"1592",NA,NA,NA,NA
"1593","C","D or lower",NA,"C"
"1594","A","A",NA,"A"
"1595","B","A","A","C"
"1596",NA,NA,NA,NA
"1597",NA,NA,NA,NA
"1598","A","A",NA,"A"
"1599",NA,NA,NA,NA
"1600","B","A","B","C"
"1601","A","A","B","A"
"1602",NA,NA,NA,NA
"1603","C","A","B","C"
"1604",NA,NA,NA,NA
"1605","B","A","A","A"
"1606","B","B","C","B"
"1607",NA,NA,NA,NA
"1608","B","C","C","A"
"1609","C","D or lower","C","A"
"1610","B","B",NA,"B"
"1611","C","B","D or lower","C"
"1612",NA,NA,NA,NA
"1613","C",NA,"B","C"
"1614","B","A","B","B"
"1615","C","A","B","C"
"1616","B","D or lower",NA,"C"
"1617",NA,NA,NA,NA
"1618",NA,NA,NA,NA
"1619","B","C","A","A"
"1620","C","B","B","B"
"1621","B","B","A","B"
"1622",NA,NA,NA,NA
"1623","D or lower","B","C","B"
"1624",NA,NA,NA,NA
"1625","B","A","B","C"
"1626",NA,NA,NA,NA
"1627",NA,NA,NA,NA
"1628","B","C","A","B"
"1629",NA,NA,NA,NA
"1630","C","A","A","B"
"1631","B","A",NA,"A"
"1632","B","B","C","B"
"1633","D or lower","A","B","B"
"1634","B","C","B","D or lower"
"1635","D or lower","C","C","C"
"1636","B","B",NA,"D or lower"
"1637","D or lower","B","B","B"
"1638","C","D or lower","B","D or lower"
"1639","B","B","B","B"
"1640","A","A","A","A"
"1641",NA,NA,NA,NA
"1642","D or lower","B",NA,"D or lower"
"1643","A","D or lower",NA,"C"
"1644",NA,NA,NA,NA
"1645",NA,NA,NA,NA
"1646","C","D or lower","B","B"
"1647","B","B","C","B"
"1648",NA,NA,NA,NA
"1649","A","A","A","B"
"1650","C","C","B","C"
"1651","B","B","A","C"
"1652","A","B","B","B"
"1653",NA,NA,NA,NA
"1654","B","A","B","B"
"1655","B","C","A","C"
"1656","B","A","B","B"
"1657","B","C","B","B"
"1658","C","B","C","C"
"1659",NA,NA,NA,NA
"1660",NA,NA,NA,NA
"1661",NA,NA,NA,NA
"1662","C","C",NA,NA
"1663","C","D or lower","B","C"
"1664","B","A","A","B"
"1665","C","D or lower","D or lower","D or lower"
"1666",NA,"C",NA,"A"
"1667","B","C","A","C"
"1668","B","B","A","B"
"1669",NA,NA,NA,NA
"1670","A","A","A","C"
"1671","A","B","B","B"
"1672","C","B","B","C"
"1673",NA,NA,NA,NA
"1674","B","D or lower","C","B"
"1675","B","C","C","B"
"1676",NA,NA,NA,NA
"1677","C","D or lower","D or lower","C"
"1678","A","B","C","A"
"1679","A","A",NA,NA
"1680",NA,NA,NA,NA
"1681","B","C","C","D or lower"
"1682",NA,"C","C","C"
"1683","B","A","B","A"
"1684","D or lower","C",NA,"D or lower"
"1685",NA,NA,NA,NA
"1686","B","B","B","A"
"1687","B","B","B","B"
"1688","B","C","B","B"
"1689","A","C",NA,"C"
"1690",NA,NA,NA,NA
"1691",NA,NA,NA,NA
"1692","A","A","B","B"
"1693","B","B","B","B"
"1694","B","B","B","B"
"1695","A","B","A","B"
"1696","C","C","C","B"
"1697",NA,NA,NA,NA
"1698",NA,NA,NA,NA
"1699",NA,NA,NA,NA
"1700",NA,NA,NA,NA
"1701","A","B","A","B"
"1702",NA,NA,NA,NA
"1703","A","B","B","B"
"1704","B","C","C","C"
"1705","C","B","A","C"
"1706",NA,"C","B","A"
"1707","B","C","B","A"
"1708","D or lower","C","B","B"
"1709","C","B","A","B"
"1710","A","A","A","A"
"1711","B","B","B","B"
"1712",NA,NA,NA,NA
"1713","C","D or lower",NA,"C"
"1714",NA,NA,NA,NA
"1715","B","B","A","C"
"1716",NA,NA,NA,NA
"1717",NA,NA,NA,NA
"1718","A","B","A","A"
"1719","B","C","B",NA
"1720",NA,NA,NA,NA
"1721",NA,NA,NA,NA
"1722","C","D or lower","C","D or lower"
"1723","B","B","A","C"
"1724",NA,NA,NA,NA
"1725","B","B","B","B"
"1726",NA,NA,NA,NA
"1727",NA,"C","B","C"
"1728","B","B","B","B"
"1729","B","B",NA,NA
"1730",NA,NA,NA,NA
"1731","D or lower","D or lower","B","C"
"1732","B","B","C","C"
"1733","C","D or lower","D or lower","A"
"1734","B","A","A","B"
"1735",NA,NA,NA,NA
"1736",NA,NA,NA,NA
"1737",NA,NA,NA,NA
"1738","B","D or lower","C","C"
"1739","B","B",NA,"D or lower"
"1740","B","B","C","B"
"1741","B","B","A","B"
"1742","C","B","B","B"
"1743","B","B","B","C"
"1744","B","C","C","D or lower"
"1745",NA,NA,NA,NA
"1746","A","B","A","A"
"1747","B","B","B","B"
"1748","A","B","A","B"
"1749","A","A","B","B"
"1750",NA,NA,NA,NA
"1751",NA,NA,NA,NA
"1752","B","B","B","B"
"1753","A","D or lower","C","C"
"1754","A","B","B","C"
"1755","C","D or lower","C","B"
"1756",NA,NA,NA,NA
"1757",NA,NA,NA,NA
"1758","B","C","A","B"
"1759","C","D or lower","D or lower","B"
"1760","B","C","B","D or lower"
"1761",NA,NA,NA,NA
"1762","B","C","B","B"
"1763","A","A","A","A"
"1764",NA,NA,NA,NA
"1765",NA,NA,NA,NA
"1766","C","B","C","A"
"1767","A","B","C","B"
"1768","A","B",NA,"A"
"1769",NA,NA,"C","B"
"1770","B","A",NA,"B"
"1771","A","A","A","A"
"1772",NA,NA,NA,NA
"1773",NA,NA,NA,NA
"1774","B","A","C","C"
"1775","A","A","A","A"
"1776","D or lower","B",NA,"D or lower"
"1777","C","B","B","D or lower"
"1778","A","A","A","A"
"1779","A","D or lower","C","B"
"1780","B","A","B","D or lower"
"1781","B","C","A","A"
"1782","B","B",NA,"B"
"1783","A","B",NA,"B"
"1784","B","C","C","B"
"1785","A","B","A","A"
"1786","B","B","C","B"
"1787",NA,NA,NA,NA
"1788","A","A",NA,"A"
"1789","B","C","B","A"
"1790",NA,NA,NA,NA
"1791",NA,NA,NA,NA
"1792",NA,NA,NA,NA
"1793","A","B","B","A"
"1794","C","C","B","C"
"1795",NA,NA,NA,NA
"1796","A","A","B","C"
"1797","A","D or lower","A","A"
"1798",NA,NA,NA,NA
"1799","A","B","A","A"
"1800","B","A","C","A"
"1801","A","A","A","A"
"1802","B","D or lower","B","D or lower"
"1803","A","B","A","C"
"1804",NA,NA,NA,NA
"1805",NA,NA,NA,NA
"1806","A","A","B","A"
"1807",NA,NA,NA,NA
"1808","B",NA,"C","B"
"1809","D or lower","B","C","D or lower"
"1810",NA,NA,NA,NA
"1811",NA,NA,NA,NA
"1812","B","C","C","C"
"1813","C",NA,NA,NA
"1814","A","B","B","C"
"1815","C","C",NA,"C"
"1816","A","A","A","A"
"1817","A","C","A","C"
"1818",NA,NA,NA,NA
"1819","A","B","A","B"
"1820","B","D or lower","D or lower","A"
"1821",NA,NA,NA,NA
"1822","B","C","B","C"
"1823","A","D or lower",NA,"C"
"1824","C","B","B","D or lower"
"1825","A","A","B","B"
"1826","B","B","A","B"
"1827","B","A","A","A"
"1828",NA,NA,NA,NA
"1829",NA,NA,NA,NA
"1830",NA,NA,NA,NA
"1831",NA,NA,NA,NA
"1832","B","C","D or lower","C"
"1833","B","A","A","C"
"1834","B","C","B","B"
"1835","C","B","A","B"
"1836","B","C","B","C"
"1837","A","A",NA,"A"
"1838","C","D or lower","B","B"
"1839","C","B","C","B"
"1840","C","B","C","D or lower"
"1841","A","A","B","B"
"1842","C","D or lower","C","D or lower"
"1843",NA,NA,NA,NA
"1844","C","C",NA,"B"
"1845","C","C","B","B"
"1846","C","B","B","B"
"1847",NA,NA,NA,NA
"1848","A","B","A","B"
"1849",NA,NA,NA,NA
"1850","C","D or lower","B","C"
"1851",NA,NA,NA,NA
"1852","B","D or lower","A","C"
"1853","C","D or lower",NA,"A"
"1854",NA,NA,NA,NA
"1855","B","A","A","C"
"1856","B","C","B","A"
"1857","B","D or lower","C","B"
"1858","D or lower","B","B","D or lower"
"1859","B","B","A","A"
"1860","C","D or lower","B","D or lower"
"1861","B","B","C","D or lower"
"1862","A","B","A","A"
"1863","C","C","B","B"
"1864","D or lower","C","D or lower","C"
"1865",NA,NA,NA,NA
"1866","C","C","D or lower","C"
"1867","B","C","B","B"
"1868","C","C","D or lower","D or lower"
"1869","A","B","A","A"
"1870",NA,NA,NA,NA
"1871","A","C","A","A"
"1872",NA,NA,NA,NA
"1873","C","D or lower","C","D or lower"
"1874",NA,NA,NA,NA
"1875",NA,NA,NA,NA
"1876",NA,NA,NA,NA
"1877","A","B","A","B"
"1878",NA,NA,NA,NA
"1879",NA,NA,NA,NA
"1880",NA,NA,NA,NA
"1881","B","B","A","B"
"1882",NA,NA,NA,NA
"1883","B","B","A","B"
