"idnum","k6b20a","k6b20b","k6b20c","k6b20d"
"0215",NA,NA,NA,NA
"0216","B","B","A","B"
"0217","C","D or lower",NA,"B"
"0218","B","C","B","C"
"0219","B","B",NA,"C"
"0220",NA,NA,NA,NA
"0221","B","D or lower","C","C"
"0222","B","A",NA,"B"
"0223",NA,NA,NA,NA
"0224",NA,NA,NA,NA
"0225","B","B","A","B"
"0226","C","D or lower","B","B"
"0227",NA,NA,NA,NA
"0228","D or lower","C","C",NA
"0229","B","A","C","A"
"0230","A","A","A","A"
"0231",NA,NA,NA,NA
"0232","D or lower","D or lower","C","C"
"0233","D or lower","C","B","C"
"0234","A","B","B","A"
"0235","A","B","A","A"
"0236","A","C","A","B"
"0237","A","A","B","B"
"0238",NA,NA,NA,NA
"0239",NA,NA,NA,NA
"0240","B","A","B","C"
"0241","B","B","A","B"
"0242","C","B","B","C"
"0243","A","A","B","B"
"0244","B","C","B","D or lower"
"0245","C","C","D or lower","D or lower"
"0246",NA,NA,NA,NA
"0247","B","A","A","A"
"0248",NA,NA,NA,NA
"0249","A","B","B","A"
"0250","A","B","A","A"
"0251","B","A","A","B"
"0252","A","A",NA,"A"
"0253",NA,NA,NA,NA
"0254","B","C","D or lower",NA
"0255","B","A","B","A"
"0256","B","C","C","D or lower"
"0257",NA,"C","C","B"
"0258","A","A","A","A"
"0259",NA,NA,NA,NA
"0260",NA,NA,NA,NA
"0261","C","B","C","B"
"0262","A","C","C","B"
"0263","C","C","B","B"
"0264","B","B","A","B"
"0265","B","B","B","C"
"0266","C","B","B","B"
"0267","C","D or lower",NA,"D or lower"
"0268","B","B","B","A"
"0269",NA,NA,NA,NA
"0270",NA,NA,NA,NA
"0271",NA,NA,NA,NA
"0272",NA,NA,NA,NA
"0273","C","A","A","B"
"0274",NA,NA,NA,NA
"0275","D or lower","D or lower","B","D or lower"
"0276","C","B","D or lower","D or lower"
"0277","B","C","B","A"
"0278","C","C","C","A"
"0279",NA,NA,NA,NA
"0280","C","D or lower","B","C"
"0281","B","C","B","C"
"0282","B","C","B","B"
"0283",NA,NA,NA,NA
"0284","A","B","B","A"
"0285","A","A","A","A"
"0286",NA,NA,NA,NA
"0287","B","B","C","B"
"0288","C","C",NA,"D or lower"
"0289","B","C",NA,"A"
"0290",NA,NA,NA,NA
"0291","A","B",NA,"C"
"0292","B","C","B","A"
"0293","D or lower","C","C","C"
"0294",NA,NA,NA,NA
"0295",NA,NA,NA,NA
"0296",NA,NA,NA,NA
"0297","B","A","B","C"
"0298","B","D or lower","D or lower","D or lower"
"0299","B","C","C","B"
"0300",NA,NA,NA,NA
"0301",NA,NA,NA,NA
"0302","B","D or lower","C","B"
"0303","C","C","B","A"
"0304","B","C","B","C"
"0305","B","B","B","B"
"0306","B","B","B","B"
"0307","A","B","A","A"
"0308",NA,NA,NA,NA
"0309","A","A","A","A"
"0310","B","A","A","B"
"0311",NA,NA,NA,NA
"0312","B","C","C","C"
"0313","B","C","C","A"
"0314",NA,NA,NA,NA
"0315","A","A","B","A"
"0316","A","A","B","A"
"0317",NA,NA,NA,NA
"0318","C","B","D or lower","C"
"0319","A","C","B","A"
"0320","C","C","B","B"
"0321","A","A","A","A"
"0322","A","C","C","B"
"0323","A","B","A","B"
"0324","C","C","C","D or lower"
