"idnum","mother_fin_security_w2345"
"0387","Yes"
"0388","Yes"
"0389","Yes"
"0390","No"
"0391","Yes"
"0392","Yes"
"0393","Yes"
"0394","Yes"
"0395",NA
"0396","No"
"0397","No"
"0398","Yes"
"0399","No"
"0400","No"
"0401","Yes"
"0402","Yes"
"0403","Yes"
"0404","No"
"0405","Yes"
"0406","Yes"
"0407","Yes"
"0408","No"
"0409","Yes"
"0410","No"
"0411","No"
"0412",NA
"0413","No"
"0414","Yes"
"0415","No"
"0416","Yes"
"0417","Yes"
"0418","Yes"
"0419","Yes"
"0420","No"
"0421","Yes"
"0422","Yes"
"0423","Yes"
"0424","Yes"
"0425","Yes"
"0426","Yes"
"0427","No"
"0428","No"
"0429","No"
"0430","No"
"0431","No"
"0432","Yes"
"0433","Yes"
"0434","Yes"
"0435","No"
"0436","Yes"
"0437","Yes"
"0438","Yes"
"0439","Yes"
"0440","No"
"0441","Yes"
"0442","Yes"
"0443","Yes"
"0444","Yes"
"0445","No"
"0446","Yes"
"0447","Yes"
"0448","Yes"
"0449","Yes"
"0450","No"
"0451","No"
"0452","Yes"
"0453","Yes"
"0454","No"
"0455","Yes"
"0456","No"
"0457","No"
"0458","No"
"0459","Yes"
"0460","Yes"
"0461",NA
"0462",NA
"0463","Yes"
"0464","No"
"0465","Yes"
"0466","Yes"
"0467","Yes"
"0468","Yes"
"0469","No"
"0470","Yes"
"0471","Yes"
"0472","Yes"
"0473","No"
"0474","Yes"
"0475","Yes"
"0476","Yes"
"0477","No"
"0478","Yes"
"0479","No"
"0480","No"
"0481","Yes"
"0482","Yes"
"0483","No"
"0484","Yes"
"0485",NA
"0486","Yes"
"0487","Yes"
"0488","Yes"
"0489","Yes"
"0490","Yes"
"0491","Yes"
"0492","Yes"
"0493","Yes"
"0494","No"
"0495","Yes"
"0496","Yes"
"0497","Yes"
"0498","Yes"
"0499","Yes"
"0500","Yes"
"0501","Yes"
"0502","Yes"
"0503","No"
"0504","Yes"
"0505",NA
"0506","No"
"0507","Yes"
"0508","No"
"0509","Yes"
"0510","Yes"
"0511","Yes"
"0512","No"
"0513","No"
"0514","Yes"
"0515","Yes"
"0516","No"
"0517","No"
"0518",NA
"0519","No"
"0520","Yes"
"0521","Yes"
"0522","Yes"
"0523","No"
"0524","Yes"
"0525","Yes"
"0526","Yes"
"0527","Yes"
"0528","No"
"0529","Yes"
"0530","No"
"0531","No"
"0532","No"
"0533","Yes"
"0534","No"
"0535","No"
"0536","No"
"0537",NA
"0538","Yes"
"0539","Yes"
"0540","Yes"
"0541","No"
"0542","No"
"0543","Yes"
"0544","Yes"
"0545","No"
"0546","No"
"0547","Yes"
"0548","Yes"
"0549","Yes"
"0550","No"
"0551","No"
"0552","Yes"
"0553","Yes"
"0554","Yes"
"0555","Yes"
"0556","Yes"
"0557","Yes"
"0558","Yes"
"0559","Yes"
"0560","No"
"0561","No"
"0562","Yes"
"0563","Yes"
"0564","Yes"
"0565","No"
"0566","Yes"
"0567","No"
"0568","No"
"0569","No"
"0570","Yes"
"0571","Yes"
"0572","No"
"0573","No"
"0574","No"
"0575","No"
"0576","Yes"
"0577","Yes"
"0578","No"
"0579","Yes"
"0580","Yes"
"0581","No"
"0582","Yes"
"0583","No"
"0584",NA
"0585","No"
"0586","Yes"
"0587","Yes"
"0588",NA
"0589","Yes"
"0590","No"
"0591","No"
"0592","No"
"0593","No"
"0594","Yes"
"0595","Yes"
"0596","No"
"0597","Yes"
"0598","Yes"
"0599","Yes"
"0600","Yes"
"0601","Yes"
"0602","Yes"
"0603",NA
"0604","Yes"
"0605","No"
"0606","Yes"
"0607","No"
"0608","No"
"0609","Yes"
"0610","No"
"0611","No"
"0612","Yes"
"0613","Yes"
"0614","No"
"0615","No"
"0616","Yes"
"0617","Yes"
"0618",NA
"0619","Yes"
"0620","Yes"
"0621","No"
"0622","No"
"0623","Yes"
"0624","Yes"
"0625","No"
"0626","No"
"0627","Yes"
"0628","Yes"
"0629","No"
"0630","No"
"0631","Yes"
"0632","No"
"0633",NA
"0634","Yes"
"0635","Yes"
"0636","Yes"
"0637","Yes"
"0638","Yes"
"0639","Yes"
"0640","Yes"
"0641","Yes"
"0642","Yes"
"0643","Yes"
"0644",NA
"0645","No"
"0646","Yes"
"0647","No"
"0648","Yes"
"0649","Yes"
"0650","Yes"
"0651","Yes"
"0652","No"
"0653","Yes"
"0654","Yes"
"0655","Yes"
"0656","Yes"
"0657","No"
"0658","No"
"0659","No"
"0660","Yes"
"0661","No"
"0662","Yes"
"0663","Yes"
"0664","Yes"
"0665","No"
"0666","No"
"0667","Yes"
"0668","Yes"
"0669","Yes"
"0670","Yes"
"0671","Yes"
"0672","Yes"
"0673","Yes"
"0674","Yes"
"0675","No"
"0676","No"
"0677","No"
"0678","Yes"
"0679","Yes"
"0680","Yes"
"0681","No"
"0682","No"
"0683","No"
"0684","Yes"
"0685","Yes"
"0686","Yes"
"0687","No"
"0688","No"
"0689","Yes"
"0690","Yes"
"0691","Yes"
"0692","Yes"
"0693","Yes"
"0694","Yes"
"0695",NA
"0696","No"
"0697","Yes"
"0698","Yes"
"0699","Yes"
"0700","No"
"0701","Yes"
"0702","Yes"
"0703","No"
"0704","Yes"
"0705","Yes"
"0706","No"
"0707","Yes"
"0708","Yes"
"0709","Yes"
"0710","Yes"
"0711","Yes"
"0712","Yes"
"0713","No"
"0714","Yes"
"0715","Yes"
"0716","Yes"
"0717","Yes"
"0718","Yes"
"0719","Yes"
"0720","Yes"
"0721","Yes"
"0722","No"
"0723","Yes"
"0724","No"
"0725","Yes"
"0726","No"
"0727","Yes"
"0728","Yes"
"0729","No"
"0730","No"
"0731","Yes"
"0732","Yes"
"0733","Yes"
"0734",NA
"0735","No"
"0736","Yes"
"0737","No"
"0738","Yes"
"0739","Yes"
"0740","Yes"
"0741","No"
"0742","No"
"0743","Yes"
"0744","No"
"0745","Yes"
"0746","Yes"
"0747","Yes"
"0748","Yes"
"0749","No"
"0750",NA
"0751","Yes"
"0752","No"
"0753","Yes"
"0754","No"
"0755","No"
"0756","Yes"
"0757","Yes"
"0758","Yes"
"0759","No"
"0760","No"
"0761","No"
"0762","Yes"
"0763","No"
"0764","Yes"
"0765","Yes"
"0766","No"
"0767","Yes"
"0768","No"
"0769","Yes"
"0770","No"
"0771","No"
"0772","Yes"
"0773","No"
"0774","Yes"
"0775","Yes"
"0776","Yes"
"0777","No"
"0778","Yes"
"0779","Yes"
"0780",NA
"0781","No"
"0782","Yes"
"0783","Yes"
"0784","Yes"
"0785","Yes"
"0786","Yes"
"0787","Yes"
"0788","Yes"
"0789","Yes"
"0790","No"
"0791","Yes"
"0792","Yes"
"0793","Yes"
"0794","Yes"
"0795","Yes"
"0796","Yes"
"0797",NA
"0798","No"
"0799","No"
"0800","Yes"
"0801","Yes"
"0802","No"
"0803","Yes"
"0804","Yes"
"0805","Yes"
"0806",NA
"0807","Yes"
"0808","Yes"
"0809","No"
"0810","Yes"
"0811","No"
"0812","Yes"
"0813","Yes"
"0814","Yes"
"0815","Yes"
"0816","Yes"
"0817","No"
"0818","Yes"
"0819","Yes"
"0820","No"
"0821","Yes"
"0822","No"
"0823","Yes"
"0824","Yes"
"0825","Yes"
"0826","Yes"
"0827","No"
"0828","No"
"0829","Yes"
"0830","Yes"
"0831","No"
"0832","Yes"
"0833","No"
"0834","No"
"0835","Yes"
"0836","No"
"0837","No"
"0838","Yes"
"0839","Yes"
"0840",NA
"0841","Yes"
"0842","No"
"0843","No"
"0844","No"
"0845","Yes"
"0846","No"
"0847","Yes"
"0848","Yes"
"0849",NA
"0850","Yes"
"0851","Yes"
"0852","Yes"
"0853","No"
"0854","Yes"
"0855",NA
"0856","No"
"0857","No"
"0858","Yes"
"0859","No"
"0860","Yes"
"0861","No"
"0862","No"
"0863","No"
"0864","No"
"0865","Yes"
"0866","Yes"
"0867","Yes"
"0868","No"
"0869","Yes"
"0870","Yes"
"0871","Yes"
"0872","No"
"0873","Yes"
"0874","Yes"
"0875","No"
"0876","Yes"
"0877","Yes"
"0878","Yes"
"0879","Yes"
"0880","No"
"0881","Yes"
"0882","Yes"
"0883","Yes"
"0884","No"
"0885","Yes"
"0886","Yes"
"0887","Yes"
"0888","Yes"
"0889","No"
"0890","No"
"0891","No"
"0892","Yes"
"0893","No"
"0894","Yes"
"0895",NA
"0896","No"
"0897","Yes"
"0898","No"
"0899","Yes"
"0900","Yes"
"0901","Yes"
"0902","Yes"
"0903","Yes"
"0904","Yes"
"0905","Yes"
"0906","Yes"
"0907","No"
"0908","Yes"
"0909","No"
"0910","Yes"
"0911","Yes"
"0912","No"
"0913","Yes"
"0914","Yes"
"0915","Yes"
"0916","Yes"
"0917","No"
"0918","No"
"0919","No"
"0920","Yes"
"0921","Yes"
"0922","No"
"0923","Yes"
"0924","Yes"
"0925","Yes"
"0926","No"
"0927","Yes"
"0928",NA
"0929","Yes"
"0930","No"
"0931","Yes"
"0932","Yes"
"0933","No"
"0934","No"
"0935","Yes"
"0936","No"
"0937","Yes"
"0938","Yes"
"0939","No"
"0940","No"
"0941","No"
"0942","Yes"
"0943","Yes"
"0944","Yes"
"0945","Yes"
"0946","Yes"
"0947","Yes"
"0948","No"
"0949","No"
"0950","No"
"0951","No"
"0952","Yes"
"0953","No"
"0954","No"
"0955","Yes"
"0956","Yes"
"0957","Yes"
"0958","Yes"
"0959","No"
"0960","Yes"
"0961","Yes"
"0962","Yes"
"0963","Yes"
"0964","Yes"
"0965","No"
"0966","No"
"0967","No"
"0968","Yes"
"0969","No"
"0970","Yes"
"0971","Yes"
"0972","No"
"0973","Yes"
"0974","Yes"
"0975","Yes"
"0976","No"
"0977","No"
"0978","Yes"
"0979","Yes"
"0980",NA
"0981",NA
"0982","Yes"
"0983","No"
"0984","No"
"0985","Yes"
"0986","Yes"
"0987","Yes"
"0988","No"
"0989","No"
"0990","Yes"
"0991","Yes"
"0992","Yes"
"0993","Yes"
"0994","No"
"0995","No"
"0996","Yes"
"0997","Yes"
"0998","Yes"
"0999",NA
"1000","Yes"
"1001","Yes"
"1002","No"
"1003","Yes"
"1004","No"
"1005","No"
"1006","Yes"
"1007","Yes"
"1008","No"
"1009","No"
"1010","Yes"
"1011","Yes"
"1012","Yes"
"1013",NA
"1014","Yes"
"1015","Yes"
"1016","Yes"
"1017","Yes"
"1018","Yes"
"1019","Yes"
"1020","No"
"1021","No"
"1022","Yes"
"1023","No"
"1024","Yes"
"1025","Yes"
"1026","No"
"1027","Yes"
"1028","Yes"
"1029","No"
"1030","No"
"1031","No"
"1032","No"
"1033","No"
"1034","Yes"
"1035","Yes"
"1036","Yes"
"1037","No"
"1038","Yes"
"1039","No"
"1040",NA
"1041","Yes"
"1042","Yes"
"1043","Yes"
"1044","Yes"
"1045","Yes"
"1046","Yes"
"1047","No"
"1048","Yes"
"1049","Yes"
"1050","No"
"1051","Yes"
"1052","Yes"
"1053","Yes"
"1054","Yes"
"1055","Yes"
"1056","Yes"
"1057","No"
"1058","No"
"1059","No"
"1060","No"
"1061","No"
"1062","Yes"
"1063","Yes"
"1064","Yes"
"1065","Yes"
"1066","No"
"1067","Yes"
"1068","No"
"1069","Yes"
"1070","No"
"1071","No"
"1072","No"
"1073","Yes"
"1074","No"
"1075","Yes"
"1076","No"
"1077","No"
"1078","No"
"1079","Yes"
"1080",NA
"1081","No"
"1082","Yes"
"1083","No"
"1084","Yes"
"1085","Yes"
"1086","Yes"
"1087","Yes"
"1088","No"
"1089","Yes"
"1090","No"
"1091","Yes"
"1092","No"
"1093","Yes"
"1094","No"
"1095","Yes"
"1096","Yes"
"1097","No"
"1098","Yes"
"1099","Yes"
"1100","Yes"
"1101","Yes"
"1102","Yes"
"1103","No"
"1104","Yes"
"1105","No"
"1106","No"
"1107","Yes"
"1108","Yes"
"1109","Yes"
"1110","Yes"
"1111",NA
"1112","No"
"1113","Yes"
"1114","No"
"1115","Yes"
"1116","Yes"
"1117","Yes"
"1118","Yes"
"1119","No"
"1120","No"
"1121","No"
"1122","Yes"
"1123","Yes"
"1124","Yes"
"1125","Yes"
"1126","Yes"
"1127",NA
"1128","Yes"
"1129","Yes"
"1130","Yes"
"1131","Yes"
"1132",NA
"1133","Yes"
"1134","Yes"
"1135","No"
"1136","Yes"
"1137","No"
"1138","Yes"
"1139","Yes"
"1140","Yes"
"1141","No"
"1142",NA
"1143","Yes"
"1144",NA
"1145","No"
"1146","Yes"
"1147","Yes"
"1148","No"
"1149","Yes"
"1150","Yes"
"1151","Yes"
"1152","Yes"
"1153",NA
"1154","Yes"
"1155","No"
"1156","Yes"
"1157","Yes"
"1158","Yes"
"1159","No"
"1160","No"
"1161","No"
"1162","No"
"1163","Yes"
"1164","No"
"1165",NA
"1166","No"
"1167","Yes"
"1168","Yes"
"1169","Yes"
"1170","Yes"
